sig_type	sig_name	exclude_reason	sig_etiology
SBS	SBS1		Age
SBS	SBS2		APOBEC
SBS	SBS3		HRD
SBS	SBS4		Tobacco
SBS	SBS5		Age
SBS	SBS6		MMRd
SBS	SBS7a		UV
SBS	SBS7b		UV
SBS	SBS7c		UV
SBS	SBS7d		UV
SBS	SBS8		Unknown
SBS	SBS9		AID_noncanon
SBS	SBS10a		POLE
SBS	SBS10b		POLE
SBS	SBS10c		POLD1_proofreading_defect
SBS	SBS10d		POLD1_proofreading_defect
SBS	SBS11		Temozolomide
SBS	SBS12		Liver_associated
SBS	SBS13		APOBEC
SBS	SBS14		MMRd_POLE
SBS	SBS15		MMRd
SBS	SBS16		Liver_associated
SBS	SBS17a		ROS
SBS	SBS17b		ROS_5FU
SBS	SBS18		ROS
SBS	SBS19		Unknown
SBS	SBS20		MMRd_POLD1
SBS	SBS21		MMRd
SBS	SBS22		Aristolochic_acid
SBS	SBS23		Unknown
SBS	SBS24		Aflatoxin
SBS	SBS25		Chemo_unknown
SBS	SBS26		MMRd
SBS	SBS27	Sequencing artefact	NA
SBS	SBS28		Unknown
SBS	SBS29		Tobacco_chewing
SBS	SBS30		BERd
SBS	SBS31		Platinum
SBS	SBS32		Azathioprine
SBS	SBS33		Unknown
SBS	SBS34		Unknown
SBS	SBS35		Platinum
SBS	SBS36		BERd
SBS	SBS37		Unknown
SBS	SBS38		UV_indirect
SBS	SBS39		Unknown
SBS	SBS40		Age
SBS	SBS41		Unknown
SBS	SBS42		Haloalkanes
SBS	SBS43	Sequencing artefact	NA
SBS	SBS44		MMRd
SBS	SBS45	Sequencing artefact	NA
SBS	SBS46	Sequencing artefact	NA
SBS	SBS47	Sequencing artefact	NA
SBS	SBS48	Sequencing artefact	NA
SBS	SBS49	Sequencing artefact	NA
SBS	SBS50	Sequencing artefact	NA
SBS	SBS51	Sequencing artefact	NA
SBS	SBS52	Sequencing artefact	NA
SBS	SBS53	Sequencing artefact	NA
SBS	SBS54	Sequencing artefact	NA
SBS	SBS55	Sequencing artefact	NA
SBS	SBS56	Sequencing artefact	NA
SBS	SBS57	Sequencing artefact	NA
SBS	SBS58	Sequencing artefact	NA
SBS	SBS59	Sequencing artefact	NA
SBS	SBS60	Sequencing artefact	NA
SBS	SBS84		AID_canon
SBS	SBS85		AID_indirect
SBS	SBS86		Chemo_unknown
SBS	SBS87		Thiopurine
SBS	SBS88		Colibactin
SBS	SBS89		Unknown
SBS	SBS90		Duocarmycin
SBS	SBS91		Unknown
SBS	SBS92		Tobacco
SBS	SBS93		Unknown
SBS	SBS94		Unknown
DBS	DBS1		UV
DBS	DBS2		Tobacco_UnknownMutagens
DBS	DBS3		POLE
DBS	DBS4		Age
DBS	DBS5		Platinum
DBS	DBS6		Age
DBS	DBS7		MMRd
DBS	DBS8		Unknown
DBS	DBS9		Age
DBS	DBS10		MMRd
DBS	DBS11		APOBEC_Age
Indel	ID1		Age_MMRd
Indel	ID2		Age_MMRd
Indel	ID3		Tobacco
Indel	ID4		Unknown
Indel	ID5		Age
Indel	ID6		HRD
Indel	ID7		MMRd
Indel	ID8		NHEJ_TOP2A
Indel	ID9		Unknown
Indel	ID10		Unknown
Indel	ID11		Unknown
Indel	ID12		Unknown
Indel	ID13		UV
Indel	ID14		Unknown
Indel	ID15	Only in few samples	Unknown
Indel	ID16	Only in few samples	Unknown
Indel	ID17	Only in few samples	Unknown
Indel	ID18		Colibactin
