class	clf_name	n_total	n_predicted	n_correct	recall	precision
.All	combined	78	0	70	0.8974358974358975	
.All	dna_combined	98	0	93	0.9489795918367347	
.All	rna_combined	78	0	64	0.8205128205128205	
.All	gen_pos	98	0	91	0.9285714285714286	
.All	snv96	98	0	86	0.8775510204081632	
.All	event	98	0	69	0.7040816326530612	
.All	gene_exp	78	0	58	0.7435897435897436	
.All	alt_sj	78	0	38	0.48717948717948717	
AML	combined	0	0	0		
AML	dna_combined	12	12	11	0.9166666666666666	0.9166666666666666
AML	rna_combined	0	0	0		
AML	gen_pos	12	7	7	0.5833333333333334	1.0
AML	snv96	12	13	12	1.0	0.9230769230769231
AML	event	12	14	12	1.0	0.8571428571428571
AML	gene_exp	0	0	0		
AML	alt_sj	0	0	0		
Breast	combined	26	30	25	0.9615384615384616	0.8333333333333334
Breast	dna_combined	28	29	26	0.9285714285714286	0.896551724137931
Breast	rna_combined	26	34	23	0.8846153846153846	0.6764705882352942
Breast	gen_pos	28	34	28	1.0	0.8235294117647058
Breast	snv96	28	25	21	0.75	0.84
Breast	event	28	39	21	0.75	0.5384615384615384
Breast	gene_exp	26	25	16	0.6153846153846154	0.64
Breast	alt_sj	26	8	6	0.23076923076923078	0.75
Lung	combined	12	9	7	0.5833333333333334	0.7777777777777778
Lung	dna_combined	14	15	14	1.0	0.9333333333333333
Lung	rna_combined	12	5	3	0.25	0.6
Lung	gen_pos	14	13	13	0.9285714285714286	1.0
Lung	snv96	14	11	10	0.7142857142857143	0.9090909090909091
Lung	event	14	12	10	0.7142857142857143	0.8333333333333334
Lung	gene_exp	12	12	4	0.3333333333333333	0.3333333333333333
Lung	alt_sj	12	45	10	0.8333333333333334	0.2222222222222222
Melanoma	combined	18	19	18	1.0	0.9473684210526315
Melanoma	dna_combined	20	20	20	1.0	1.0
Melanoma	rna_combined	18	18	17	0.9444444444444444	0.9444444444444444
Melanoma	gen_pos	20	20	20	1.0	1.0
Melanoma	snv96	20	19	19	0.95	1.0
Melanoma	event	20	19	18	0.9	0.9473684210526315
Melanoma	gene_exp	18	18	17	0.9444444444444444	0.9444444444444444
Melanoma	alt_sj	18	18	18	1.0	1.0
Prostate	combined	22	20	20	0.9090909090909091	1.0
Prostate	dna_combined	24	22	22	0.9166666666666666	1.0
Prostate	rna_combined	22	21	21	0.9545454545454546	1.0
Prostate	gen_pos	24	24	23	0.9583333333333334	0.9583333333333334
Prostate	snv96	24	30	24	1.0	0.8
Prostate	event	24	14	8	0.3333333333333333	0.5714285714285714
Prostate	gene_exp	22	23	21	0.9545454545454546	0.9130434782608695
Prostate	alt_sj	22	7	4	0.18181818181818182	0.5714285714285714
