sample_num	Bone/Soft tissue: Osteosarcoma	Lung: Small cell	Skin: Other	actual_class
1	4.30E-05	0.75163659	0.000118692	Lung: Small cell
2	2.96E-05	0.985410521	4.06E-05	Lung: Small cell
3	0.709888075	0.005134171	0.006785282	Bone/Soft tissue: Osteosarcoma
4	1.33E-05	8.23E-05	0.97779158	Skin: Other
5	4.59E-05	0.000183804	0.971913	Skin: Other
6	0.009048688	0.000747284	0.702766102	Skin: Other
7	0.000110853	0.866621384	1.99E-05	Lung: Small cell
8	0.000643615	0.001300153	0.005870123	Lung: Small cell
9	0.885892902	0.000315852	0.000309319	Bone/Soft tissue: Osteosarcoma
10	0.015976132	0.000965674	0.005386762	Bone/Soft tissue: Osteosarcoma
11	2.14E-05	0.993519405	1.65E-05	Lung: Small cell
12	0.03458563	0.001046646	0.050292974	Bone/Soft tissue: Osteosarcoma
13	0.14563103	0.004734347	0.014601126	Bone/Soft tissue: Osteosarcoma
14	0.003981568	0.001140543	0.106892495	Skin: Other
15	0.002151639	0.000750761	0.078460945	Skin: Other
16	0.329808014	7.74E-05	3.35E-05	Bone/Soft tissue: Osteosarcoma
17	0.005039075	0.000513725	0.851192409	Skin: Other
18	0.043188186	0.000551605	0.025934704	Bone/Soft tissue: Osteosarcoma
19	0.005929372	0.010587045	0.071600586	Skin: Other
20	0.001214105	0.003915217	0.088534204	Skin: Other
21	0.013708444	0.024612878	0.022747898	Skin: Other
22	0.013668216	0.00586166	0.164659498	Skin: Other
23	0.376436463	4.46E-05	0.000252798	Bone/Soft tissue: Osteosarcoma
24	0.016924351	0.002319665	0.007491306	Bone/Soft tissue: Osteosarcoma
25	0.000562234	0.008681869	0.001641043	Lung: Small cell
26	1.05E-05	0.972304452	9.73E-05	Lung: Small cell
27	0.000174672	0.930667	0.00032913	Lung: Small cell
28	0.000297623	0.915483175	0.000369216	Lung: Small cell
29	0.000158499	0.376786805	8.29E-05	Lung: Small cell
30	8.96E-06	4.06E-05	0.944049489	Skin: Other
31	0.245958706	0.00283013	0.081791165	Bone/Soft tissue: Osteosarcoma
32	0.608015808	0.005137114	0.001583332	Bone/Soft tissue: Osteosarcoma
33	9.87E-05	0.704211696	0.00618288	Lung: Small cell
34	0.035542029	0.019011253	0.006000371	Bone/Soft tissue: Osteosarcoma
35	0.104870664	0.01041686	0.053936511	Bone/Soft tissue: Osteosarcoma
36	0.00031713	0.008913602	0.917094228	Skin: Other
37	0.004943747	0.0075389	0.03836283	Lung: Small cell
38	3.10E-05	0.000922996	0.795608287	Skin: Other
39	1.19E-05	0.000477735	0.987556549	Skin: Other
40	8.48E-05	0.001851074	0.920475095	Skin: Other
41	0.000299759	0.968414696	2.66E-05	Lung: Small cell
42	0.000671433	0.000761754	0.48839099	Skin: Other
43	2.59E-05	0.99722432	1.39E-05	Lung: Small cell
44	0.023877179	0.023978967	0.035399546	Skin: Other
45	0.001114903	0.975852486	0.000398411	Lung: Small cell
46	0.633013452	0.002321169	0.014585081	Bone/Soft tissue: Osteosarcoma
47	1.07E-05	2.43E-05	0.86091607	Skin: Other
