sample_id	data_type	clf_group	clf_name	feat_name	feat_value	cancer_type	data_value	rank	rank_group
Breast_TNBC	prob	combined	combined			Anogenital	0.0002181	6	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: Cartilaginous neoplasm		34	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: GIST	0.0002181	7	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: Leiomyosarcoma	0.0002181	8	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: Liposarcoma	0.0002181	9	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: Osteosarcoma		35	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: Undiff. sarcoma	0.0002181	10	0
Breast_TNBC	prob	combined	combined			Bone/Soft tissue: Other	0.0002181	11	0
Breast_TNBC	prob	combined	combined			Breast: Triple negative	0.7648	1	0
Breast_TNBC	prob	combined	combined			Breast: Other	0.2277	2	0
Breast_TNBC	prob	combined	combined			CNS: Glioma	0.0002181	12	0
Breast_TNBC	prob	combined	combined			CNS: Medulloblastoma		36	0
Breast_TNBC	prob	combined	combined			CNS: Pilocytic astrocytoma		37	0
Breast_TNBC	prob	combined	combined			Colorectum/Small intestine/Appendix	0.0002181	13	0
Breast_TNBC	prob	combined	combined			Esophagus/Stomach	0.0002181	14	0
Breast_TNBC	prob	combined	combined			Gynecologic: Endometrium	0.0002181	15	0
Breast_TNBC	prob	combined	combined			Gynecologic: Ovary/Fallopian tube	0.0009148	3	0
Breast_TNBC	prob	combined	combined			HPB: Bile duct/Gallbladder	0.0002181	16	0
Breast_TNBC	prob	combined	combined			HPB: Liver	0.0002181	17	0
Breast_TNBC	prob	combined	combined			HPB: Pancreas	0.0002181	18	0
Breast_TNBC	prob	combined	combined			Head and neck: Adenoid cystic	0.000248	5	0
Breast_TNBC	prob	combined	combined			Head and neck: Salivary gland	0.0002181	19	0
Breast_TNBC	prob	combined	combined			Head and neck: Other	0.0002181	20	0
Breast_TNBC	prob	combined	combined			Kidney: Chromophobe		38	0
Breast_TNBC	prob	combined	combined			Kidney: Other	0.0002181	21	0
Breast_TNBC	prob	combined	combined			Lung: Non-small cell: LUAD	0.0002494	4	0
Breast_TNBC	prob	combined	combined			Lung: Non-small cell: LUSC	0.0002181	22	0
Breast_TNBC	prob	combined	combined			Lung: Small cell	0.0002181	23	0
Breast_TNBC	prob	combined	combined			Lymphoid tissue	0.0002181	24	0
Breast_TNBC	prob	combined	combined			Mesothelium	0.0002181	25	0
Breast_TNBC	prob	combined	combined			Myeloid: Acute myeloid leukemia		39	0
Breast_TNBC	prob	combined	combined			Myeloid: Myeloproliferative neoplasm		40	0
Breast_TNBC	prob	combined	combined			NET: Colorectum/Small intestine	0.0002181	26	0
Breast_TNBC	prob	combined	combined			NET: Lung	0.0002181	27	0
Breast_TNBC	prob	combined	combined			NET: Pancreas	0.0002181	28	0
Breast_TNBC	prob	combined	combined			Prostate	0.0002181	29	0
Breast_TNBC	prob	combined	combined			Skin: Melanoma	0.0002181	30	0
Breast_TNBC	prob	combined	combined			Skin: Other	0.0002181	31	0
Breast_TNBC	prob	combined	combined			Thyroid gland	0.0002181	32	0
Breast_TNBC	prob	combined	combined			Urothelial tract	0.0002181	33	0
Breast_TNBC	prob	dna	dna_combined			Anogenital	0.00194	6	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: Cartilaginous neoplasm	0.000779	8	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: GIST	0.0	11	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: Leiomyosarcoma	0.0	12	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: Liposarcoma	0.0	13	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: Osteosarcoma	0.0	14	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: Undiff. sarcoma	0.0	15	1
Breast_TNBC	prob	dna	dna_combined			Bone/Soft tissue: Other	0.002602	4	1
Breast_TNBC	prob	dna	dna_combined			Breast: Triple negative	0.7504	1	1
Breast_TNBC	prob	dna	dna_combined			Breast: Other	0.236	2	1
Breast_TNBC	prob	dna	dna_combined			CNS: Glioma	0.0	16	1
Breast_TNBC	prob	dna	dna_combined			CNS: Medulloblastoma	0.0	17	1
Breast_TNBC	prob	dna	dna_combined			CNS: Pilocytic astrocytoma	0.0	18	1
Breast_TNBC	prob	dna	dna_combined			Colorectum/Small intestine/Appendix	0.0	19	1
Breast_TNBC	prob	dna	dna_combined			Esophagus/Stomach	0.0	20	1
Breast_TNBC	prob	dna	dna_combined			Gynecologic: Endometrium	0.0	21	1
Breast_TNBC	prob	dna	dna_combined			Gynecologic: Ovary/Fallopian tube	0.002301	5	1
Breast_TNBC	prob	dna	dna_combined			HPB: Bile duct/Gallbladder	0.0	22	1
Breast_TNBC	prob	dna	dna_combined			HPB: Liver	0.0008078	7	1
Breast_TNBC	prob	dna	dna_combined			HPB: Pancreas	0.0004903	10	1
Breast_TNBC	prob	dna	dna_combined			Head and neck: Adenoid cystic	0.0006875	9	1
Breast_TNBC	prob	dna	dna_combined			Head and neck: Salivary gland	0.0	23	1
Breast_TNBC	prob	dna	dna_combined			Head and neck: Other	0.0	24	1
Breast_TNBC	prob	dna	dna_combined			Kidney: Chromophobe	0.0	25	1
Breast_TNBC	prob	dna	dna_combined			Kidney: Other	0.0	26	1
Breast_TNBC	prob	dna	dna_combined			Lung: Non-small cell: LUAD	0.0	27	1
Breast_TNBC	prob	dna	dna_combined			Lung: Non-small cell: LUSC	0.0	28	1
Breast_TNBC	prob	dna	dna_combined			Lung: Small cell	0.0	29	1
Breast_TNBC	prob	dna	dna_combined			Lymphoid tissue	0.0	30	1
Breast_TNBC	prob	dna	dna_combined			Mesothelium	0.0	31	1
Breast_TNBC	prob	dna	dna_combined			Myeloid: Acute myeloid leukemia	0.0	32	1
Breast_TNBC	prob	dna	dna_combined			Myeloid: Myeloproliferative neoplasm	0.0	33	1
Breast_TNBC	prob	dna	dna_combined			NET: Colorectum/Small intestine	0.0	34	1
Breast_TNBC	prob	dna	dna_combined			NET: Lung	0.0	35	1
Breast_TNBC	prob	dna	dna_combined			NET: Pancreas	0.0	36	1
Breast_TNBC	prob	dna	dna_combined			Prostate	0.0	37	1
Breast_TNBC	prob	dna	dna_combined			Skin: Melanoma	0.0	38	1
Breast_TNBC	prob	dna	dna_combined			Skin: Other	0.0	39	1
Breast_TNBC	prob	dna	dna_combined			Thyroid gland	0.0	40	1
Breast_TNBC	prob	dna	dna_combined			Urothelial tract	0.004024	3	1
Breast_TNBC	prob	rna	rna_combined			Anogenital	0.0	14	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: Cartilaginous neoplasm		34	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: GIST	0.0	15	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: Leiomyosarcoma	0.0	16	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: Liposarcoma	9.96e-06	13	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: Osteosarcoma		35	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: Undiff. sarcoma	0.005921	7	2
Breast_TNBC	prob	rna	rna_combined			Bone/Soft tissue: Other	0.0	17	2
Breast_TNBC	prob	rna	rna_combined			Breast: Triple negative	0.4673	1	2
Breast_TNBC	prob	rna	rna_combined			Breast: Other	0.4425	2	2
Breast_TNBC	prob	rna	rna_combined			CNS: Glioma	0.0	18	2
Breast_TNBC	prob	rna	rna_combined			CNS: Medulloblastoma		36	2
Breast_TNBC	prob	rna	rna_combined			CNS: Pilocytic astrocytoma		37	2
Breast_TNBC	prob	rna	rna_combined			Colorectum/Small intestine/Appendix	0.004803	8	2
Breast_TNBC	prob	rna	rna_combined			Esophagus/Stomach	0.006796	6	2
Breast_TNBC	prob	rna	rna_combined			Gynecologic: Endometrium	0.0	19	2
Breast_TNBC	prob	rna	rna_combined			Gynecologic: Ovary/Fallopian tube	0.04195	3	2
Breast_TNBC	prob	rna	rna_combined			HPB: Bile duct/Gallbladder	0.0	20	2
Breast_TNBC	prob	rna	rna_combined			HPB: Liver	0.0	21	2
Breast_TNBC	prob	rna	rna_combined			HPB: Pancreas	0.002507	9	2
Breast_TNBC	prob	rna	rna_combined			Head and neck: Adenoid cystic	0.01137	5	2
Breast_TNBC	prob	rna	rna_combined			Head and neck: Salivary gland	0.0	22	2
Breast_TNBC	prob	rna	rna_combined			Head and neck: Other	0.001058	12	2
Breast_TNBC	prob	rna	rna_combined			Kidney: Chromophobe		38	2
Breast_TNBC	prob	rna	rna_combined			Kidney: Other	0.002165	10	2
Breast_TNBC	prob	rna	rna_combined			Lung: Non-small cell: LUAD	0.01144	4	2
Breast_TNBC	prob	rna	rna_combined			Lung: Non-small cell: LUSC	0.0	23	2
Breast_TNBC	prob	rna	rna_combined			Lung: Small cell	0.0	24	2
Breast_TNBC	prob	rna	rna_combined			Lymphoid tissue	0.0	25	2
Breast_TNBC	prob	rna	rna_combined			Mesothelium	0.0	26	2
Breast_TNBC	prob	rna	rna_combined			Myeloid: Acute myeloid leukemia		39	2
Breast_TNBC	prob	rna	rna_combined			Myeloid: Myeloproliferative neoplasm		40	2
Breast_TNBC	prob	rna	rna_combined			NET: Colorectum/Small intestine	0.0	27	2
Breast_TNBC	prob	rna	rna_combined			NET: Lung	0.002101	11	2
Breast_TNBC	prob	rna	rna_combined			NET: Pancreas	0.0	28	2
Breast_TNBC	prob	rna	rna_combined			Prostate	0.0	29	2
Breast_TNBC	prob	rna	rna_combined			Skin: Melanoma	0.0	30	2
Breast_TNBC	prob	rna	rna_combined			Skin: Other	0.0	31	2
Breast_TNBC	prob	rna	rna_combined			Thyroid gland	0.0	32	2
Breast_TNBC	prob	rna	rna_combined			Urothelial tract	0.0	33	2
Breast_TNBC	prob	dna	gen_pos			Anogenital	0.09659	2	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: Cartilaginous neoplasm	3.382e-08	40	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: GIST	9.88e-05	32	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: Leiomyosarcoma	0.0007466	19	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: Liposarcoma	2.398e-05	36	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: Osteosarcoma	0.0003653	22	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: Undiff. sarcoma	0.0003052	26	3
Breast_TNBC	prob	dna	gen_pos			Bone/Soft tissue: Other	0.001818	16	3
Breast_TNBC	prob	dna	gen_pos			Breast: Triple negative	0.6103	1	3
Breast_TNBC	prob	dna	gen_pos			Breast: Other	0.01891	7	3
Breast_TNBC	prob	dna	gen_pos			CNS: Glioma	0.0003181	25	3
Breast_TNBC	prob	dna	gen_pos			CNS: Medulloblastoma	0.0001087	30	3
Breast_TNBC	prob	dna	gen_pos			CNS: Pilocytic astrocytoma	0.001623	18	3
Breast_TNBC	prob	dna	gen_pos			Colorectum/Small intestine/Appendix	0.001683	17	3
Breast_TNBC	prob	dna	gen_pos			Esophagus/Stomach	0.008584	12	3
Breast_TNBC	prob	dna	gen_pos			Gynecologic: Endometrium	0.02898	5	3
Breast_TNBC	prob	dna	gen_pos			Gynecologic: Ovary/Fallopian tube	0.06884	4	3
Breast_TNBC	prob	dna	gen_pos			HPB: Bile duct/Gallbladder	0.01612	8	3
Breast_TNBC	prob	dna	gen_pos			HPB: Liver	0.0002533	27	3
Breast_TNBC	prob	dna	gen_pos			HPB: Pancreas	0.009057	11	3
Breast_TNBC	prob	dna	gen_pos			Head and neck: Adenoid cystic	6e-08	39	3
Breast_TNBC	prob	dna	gen_pos			Head and neck: Salivary gland	0.02192	6	3
Breast_TNBC	prob	dna	gen_pos			Head and neck: Other	0.001994	14	3
Breast_TNBC	prob	dna	gen_pos			Kidney: Chromophobe	2.669e-05	35	3
Breast_TNBC	prob	dna	gen_pos			Kidney: Other	0.0004168	20	3
Breast_TNBC	prob	dna	gen_pos			Lung: Non-small cell: LUAD	0.009992	10	3
Breast_TNBC	prob	dna	gen_pos			Lung: Non-small cell: LUSC	0.01055	9	3
Breast_TNBC	prob	dna	gen_pos			Lung: Small cell	0.0003644	23	3
