feat_prefix	feat_basename	feat_override_value	target_class	comment
event.fusion.	CBFB_MYH11	1	Myeloid: Acute myeloid leukemia	"pycuppa, ref data version 017"
event.fusion.	CTNNB1_PLAG1	1	Head and neck: Salivary gland	"Changed to ""Salivary gland"" only (no ""Adenoid cystic"")"
event.fusion.	FUS_DDIT3	1	Bone/Soft tissue: Liposarcoma	"pycuppa, ref data version 017"
event.fusion.	KIAA1549_BRAF	1	CNS: Pilocytic astrocytoma	"pycuppa, ref data version 017"
event.fusion.	MYB_NFIB	1	Head and neck: Salivary gland	"Now shared between ""Salivary gland"" and ""Adenoid cystic"""
event.fusion.	MYB_NFIB	1	Head and neck: Adenoid cystic	"Now shared between ""Salivary gland"" and ""Adenoid cystic"""
event.fusion.	MYBL1_NFIB	1	Head and neck: Salivary gland	"Now shared between ""Salivary gland"" and ""Adenoid cystic"""
event.fusion.	MYBL1_NFIB	1	Head and neck: Adenoid cystic	"Now shared between ""Salivary gland"" and ""Adenoid cystic"""
event.fusion.	RUNX1_RUNX1T1	1	Myeloid: Acute myeloid leukemia	"pycuppa, ref data version 017"
event.fusion.	THADA_IGF2BP3	1	Thyroid gland	"pycuppa, ref data version 017"
event.fusion.	ACTB_GLI1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	ATIC_ALK	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	BCOR_CCNB3	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	CARS_ALK	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	CIC_DUX4	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	CIC_FOXO4	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	CLTC_ALK	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	COL1A1_PDGFB	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EPC1_PHF1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_CREB1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_CREB3L1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_E1AF	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_ERG	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_ETV1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_FEV	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_FLI1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_NFATC2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_NR4A3	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_PBX1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_POU5F1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_SSX1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_WT1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_ZNF444	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	EWSR1_ZSG	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	FUS_ATF1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	FUS_CREB3L1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	FUS_CREB3L2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	FUS_ERG	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	FUS_TFCP2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	HEY1_NCOA2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	JAZF1_PHF1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	JAZF1_SUZ12	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	MEAF6_PHF1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	PAX3_FOXO1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	PAX7_FOXO1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	RANBP2_ALK	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	SEC31A_ALK	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	SRF_ICA1L	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	SRF_NCOA2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	SS18_SSX1	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	SS18_SSX2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	SS18_SSX4	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	TAF15_NR4A3	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	TCF12_NR4A3	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	TEAD1_NCOA2	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
event.fusion.	TFG_NR4A3	1	Bone/Soft tissue: Other	"java cuppa, ref data version 016"
