Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10,Sig11,Sig12,Sig13,Sig14,Sig15,Sig16,Sig17,Sig18,Sig19,Sig20,Sig21,Sig22,Sig23,Sig24,Sig25,Sig26,Sig27,Sig28,Sig29,Sig30
0.0111,7e-04,0.0222,0.0365,0.0149,0.0017,4e-04,0.0367,0.012,7e-04,2e-04,0.0077,3e-04,1e-04,0.0013,0.0161,0.0018,0.0505,0.0107,0.0012,1e-04,0.0015,5e-04,0.0286,0.0099,0.002,0.0052,0.0014,0.07,0
0.0091,6e-04,0.0179,0.0309,0.009,0.0028,5e-04,0.0332,0.0067,0.001,0.001,0.0047,6e-04,0.0042,0.004,0.0097,3e-04,0.0109,0.0074,0.0022,7e-04,0.0025,4e-04,0.0202,0.007,0.0015,0.0047,9e-04,0.0552,0
0.0015,1e-04,0.0021,0.0183,0.0022,5e-04,0,0.0025,5e-04,3e-04,0,0.0017,0,5e-04,0,0.0022,0,0.0023,5e-04,0,0,0,0,0.0205,0.0014,3e-04,8e-04,0,0.0178,0.002
0.0062,3e-04,0.0163,0.0243,0.0092,0.0019,4e-04,0.0336,0.0068,0.0092,2e-04,0.0046,8e-04,0.0296,0.0057,0.0088,0.0032,0.0194,0.0074,0.003,6e-04,9e-04,0,0.0246,0.005,6e-04,0.0027,5e-04,0.0268,0
0.0066,7e-04,0.0188,0.0461,0.0097,0.0101,0.0012,0.0317,0.0098,0.0031,7e-04,0.0135,0.0017,0.0056,0.0106,0.0159,0.001,0.0888,0.0112,0.0174,0.002,0.0045,2e-04,0.0636,0.0148,0.0037,0.0051,0.0012,0.0514,0
0.0073,2e-04,0.0158,0.0614,0.005,0.0241,6e-04,0.0255,0.0057,9e-04,0.0017,0.0112,0.0012,0.0102,0.0084,0.01,4e-04,0.0206,0.0159,0.0365,0.0014,0.0038,7e-04,0.0338,0.0078,0.004,0.0022,3e-04,0.0258,0
9e-04,0,0.002,0.0088,0.0028,0.0091,0,0.0012,0,7e-04,0.001,0.0028,2e-04,9e-04,0.0015,0.0022,3e-04,0.0172,0.0018,0.0125,0.0027,9e-04,2e-04,0.0224,0.0013,8e-04,3e-04,1e-04,0.0145,0.0023
0.0072,4e-04,0.0147,0.0432,0.011,0.0571,0.0013,0.0288,0.0091,0.016,0.0014,0.0071,0.0013,0.1257,0.0228,0.0084,0,0.0377,0.0096,0.1034,0.0056,0.0044,7e-04,0.0201,0.0126,0.019,0.0031,2e-04,0.0404,0
0.0082,4e-04,0.0097,0.0376,0.0119,0.0024,3e-04,0.0237,0.0118,0.0014,4e-04,0.0062,1e-04,0.0018,0.0024,0.0096,0.0065,0.1287,0.0032,0.0011,1e-04,0.0013,3e-04,0.0547,0.0135,0.0014,0.0108,0.0021,0.078,0.0089
0.0058,1e-04,0.0108,0.0399,0.0092,0.0058,1e-04,0.0158,0.0092,0.0022,0.001,0.0056,8e-04,0.0114,0.0099,0.0094,0.0013,0.0161,0.0031,0.0033,0.0038,0.0018,6e-04,0.1099,0.0065,0.002,0.0124,4e-04,0.0735,0.0093
6e-04,2e-04,9e-04,0.0227,0.0028,0.0021,0,9e-04,0,2e-04,0,0.0015,1e-04,0.0011,0.0013,0.0036,0.0013,0.0093,0,0.0038,3e-04,3e-04,1e-04,0.0465,7e-04,0,0.0016,0,0.0174,9e-04
0.0045,1e-04,0.0122,0.0258,0.0103,0.0087,1e-04,0.0211,0.0085,0.0088,6e-04,0.0027,6e-04,0.0736,0.0309,0.0063,0.0031,0.072,0.0072,0.0129,0.0023,5e-04,0,0.0504,0.0105,0.0019,0.0074,0.0013,0.0596,0.0082
0.0123,0.0151,0.0117,0.033,0.0148,0.0017,0.001,0.027,0.0222,0.0374,9e-04,0.0066,0.0482,5e-04,0.0057,0.0122,0.0018,0.0671,0.0051,7e-04,1e-04,0.0041,0.0021,0.0315,0.0069,0.0027,0.0071,8e-04,0.0269,0
0.0112,0.0065,0.0166,0.0538,0.012,0.0029,0.002,0.0181,0.0043,0.0103,0.0025,0.0099,0.0173,0.0166,0.0062,0.0145,0.0013,0.0419,0.0063,0.0041,5e-04,0.0027,7e-04,0.0625,0.0102,0.002,0.0063,8e-04,0.0316,0
0.0023,0.0017,0.0014,0.0104,0.0039,0.0011,2e-04,0.0017,0,0.0031,1e-04,0.0019,0.0023,0,0.0025,0.004,0.0022,0.0152,0.0018,0.001,0,5e-04,1e-04,0.0128,0,3e-04,0.0014,0,0.0125,0.0017
0.0153,0.0124,0.0163,0.037,0.0182,0.0058,0.0013,0.0381,0.0322,0.3083,4e-04,0.0049,0.0186,0.0516,0.0145,0.0157,0.005,0.1179,0.0087,0.0122,4e-04,0.0036,2e-04,0.0303,0.0246,0.003,0.0098,0.002,0.0412,0
0.0018,3e-04,0.024,0.0097,0.0117,0.0013,0,0.0084,0.0048,5e-04,7e-04,0.0031,0.0038,1e-04,0.0011,0.0048,0.0017,0.0015,0.0058,7e-04,5e-04,5e-04,0,0.012,0.008,0.0013,0.0013,3e-04,0.0093,0
0.0026,3e-04,0.0122,0.0054,0.0073,0.0012,0,0.0043,0.0023,3e-04,3e-04,0.0015,9e-04,0,1e-04,0.0024,0.0016,0.0025,0.0019,0.0021,8e-04,0,0,0.0084,0.0016,0.0015,0.0018,3e-04,0.0035,0
6e-04,2e-04,0.0053,0.0031,0.0023,0,0,6e-04,0,0,0,0,0,0,6e-04,0,0,0.0026,0,0,0,0,0,0,0,3e-04,0,0,2e-04,0.0048
0.003,6e-04,0.0233,0.0054,0.0117,0.0018,1e-04,0.0086,0.0038,2e-04,9e-04,0.0025,0.0039,1e-04,0.001,0.0073,0.0013,0.004,0.0072,8e-04,0.0018,3e-04,0,0.0039,0.0034,0.0025,0.0013,3e-04,0.004,0
0.0013,0,0.0168,0.0105,0.0075,0,1e-04,0.0066,0.0018,0,0,0.0019,0.0053,0,9e-04,0.004,0.0019,5e-04,2e-04,0,1e-04,6e-04,2e-04,0.0135,0.0072,0.0013,0.0047,1e-04,0.0026,0
7e-04,3e-04,0.0135,0.0097,0.0076,0,4e-04,0.0061,0.002,0,2e-04,0.0019,9e-04,0,3e-04,0.005,7e-04,0.0037,0.0028,5e-04,0,8e-04,3e-04,0.0161,0.0046,0.0012,0.0013,1e-04,0.0011,0
5e-04,0,0.0042,0.0063,0.0026,0,6e-04,7e-04,0,0,8e-04,0,3e-04,0,4e-04,0.0028,0,0.0054,2e-04,0,0,4e-04,0,8e-04,8e-04,2e-04,4e-04,0,0.0015,0.0032
0.0014,3e-04,0.024,0.0094,0.0094,2e-04,3e-04,0.0078,0.0039,0,2e-04,0.0019,0.0064,0,0.0017,0.008,0.001,0.0055,8e-04,1e-04,3e-04,0.0018,2e-04,0.0104,2e-04,0.0023,3e-04,3e-04,1e-04,0
6e-04,0,0.0119,0.007,0.0056,0,0,0.0037,0.0011,0,0,0.0012,0.0013,2e-04,0.0022,0.0031,0.0013,9e-04,0.002,0.0013,4e-04,0,0,0.0049,0.0042,0.0013,0.0014,1e-04,3e-04,0.0074
0.0024,0,0.0098,0.0091,0.0054,0.003,4e-04,0.003,0.0029,2e-04,2e-04,0.0011,8e-04,1e-04,5e-04,0.0032,3e-04,6e-04,0,0.0018,0.0042,0,1e-04,0.0094,0.0024,0.0018,0.0013,1e-04,9e-04,0.0066
0,0,0.0017,0.0062,0.0011,0,0,3e-04,0,0,0,0,1e-04,0,6e-04,0,0,5e-04,0,0,0,2e-04,0,0.0056,4e-04,2e-04,0,0,0,0.0016
9e-04,3e-04,0.0179,0.006,0.006,0.0017,0,0.0058,0.0044,4e-04,0,9e-04,0.0027,3e-04,0.0018,0.0029,0.0018,0.0014,0,0.0012,4e-04,5e-04,0,0.0031,0.002,0.0012,0.0046,2e-04,0.0048,0
0.0019,0.0372,0.016,0.0032,0.0027,0,2e-04,0.0041,0.0033,0,1e-04,0.0024,0.2802,0,9e-04,0.005,4e-04,0.0018,5e-04,0,2e-04,2e-04,2e-04,0.0102,0.0098,0.0042,0.0029,5e-04,8e-04,0
0.0021,0,0.0201,0.0105,0.0079,2e-04,0.001,0.0038,0.0025,0,0.0011,0.0027,0.0639,0,0.0026,0.0064,7e-04,0.0079,0.0011,2e-04,3e-04,6e-04,2e-04,0.0076,0.0033,0.0028,0.0031,7e-04,4e-04,0
