primaryTumorLocation,doids
Adrenal gland,3953
Anus,14110
Appendix,11239
Bile duct,4606
Bone marrow,4960
Bone/Soft tissue,201;1115;9253
Breast,1612
Bronchus,1325
Colorectum,9256
Esophagus,5041
Eye,2174
Fallopian tube,1964
Gallbladder,3121
Gastroesophageal,0080374
Gastrointestinal tract,3119
Head and neck,11934;8850;2596;10811;0050619;8618
Hepatobiliary system,0080355
Kidney,263
Liver,3571
Lung,1324
Lymphoid tissue,0060058
Mesothelium,1790
Nervous system,3093
Ovary,2394
Pancreas,1793
Penis,11615
Prostate,10283
Skin,4159
Small intestine,10154
Stomach,10534
Testis,2998
Thymus,3277
Thyroid gland,1781
Trachea,11920
Unknown,UNMAPPED
Urothelial tract,3996
Uterus,363
Vagina,119
Vulva,1245
