gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
A1BG	0.0	2.1437330292982536E-7	0.0	8.574932117193014E-9	0.0	0.0	0.0	2.7695683156953376E-8
A1CF	0.005806049809437468	3.638357129033271E-7	7.205531798699426E-4	3.281355378340002E-8	2.0587233710569786E-4	9.375301080971434E-9	4.811409048696281E-5	7.72184877961857E-8
A2M	0.0025434197369938083	8.5576775940496E-7	0.0	4.2874660585965074E-8	0.0	5.1449592703158085E-8	0.0	1.107827326278135E-7
A2ML1	0.0	7.888937547817573E-7	4.796347815905131E-4	6.763639277915067E-8	1.4389043447715397E-4	2.02909178337452E-8	3.327048459858784E-5	1.3442035526991573E-7
A3GALT2	0.0014026064953148506	1.6140526977626862E-7	5.508399765680474E-6	8.366912902690436E-9	0.0	0.0	0.0	5.539136631390675E-8
A4GALT	0.0	1.6292371022666728E-7	2.0375378598016592E-5	7.805476298543215E-9	0.0	0.0	0.0	2.7695683156953376E-8
A4GNT	0.0016885151386471133	2.363575366428768E-7	1.6271003545869942E-4	1.1005282285435221E-8	0.0	0.0	0.0	2.7695683156953376E-8
AAAS	0.0	2.0579837081263234E-7	0.0	8.574932117193014E-9	0.0	0.0	6.746948406734705E-4	5.618467929296344E-8
AACS	0.0012504709384842706	2.186001098064242E-7	3.803815526273612E-4	1.993499911818915E-8	9.50953881568403E-5	4.9837497795472875E-9	0.0	0.0
AADAC	0.003988316267834655	1.6665770863336066E-7	0.0	8.574932117193014E-9	0.0	8.574932117193014E-9	0.0	5.539136631390675E-8
AADACL2	0.001532695991740764	2.422418910693417E-7	0.0	1.7149864234386028E-8	0.0	0.0	5.00824457791074E-4	4.9696277724780526E-8
AADACL3	0.0	2.315231671642114E-7	3.928948033314596E-5	1.566613625806225E-8	0.0	0.0	0.0031643698338555686	1.4025413148138053E-7
AADACL4	0.0	3.429972846877206E-7	0.0	1.7149864234386028E-8	0.0	0.0	5.0436329885636036E-5	4.9239556946164826E-8
AADAT	0.0	1.286239817578952E-7	0.0	0.0	8.950781944778032E-5	1.3769690847303323E-8	2.2263394870561696E-4	5.593198853898522E-8
AAED1	1.6927811357090973E-4	6.220683807990596E-8	0.0	0.0	0.0	0.0	0.0	0.0
AAGAB	0.0013635359065096637	9.428127459515788E-8	0.0	8.574932117193014E-9	0.0	0.0	0.0	2.7695683156953376E-8
AAK1	0.0013743788402003042	3.6826962978611966E-7	0.0	3.4299728468772056E-8	0.0	8.574932117193014E-9	2.9472129356622175E-4	1.0253073246314492E-7
AAMDC	0.0	4.2874660585965074E-8	0.0	0.0	0.0	0.0	1.0461917187839285E-4	1.493509563866544E-8
AAMP	0.0	1.4577384599228124E-7	0.0	1.7149864234386028E-8	0.0	0.0	0.0	8.308704947086012E-8
AANAT	0.002304020905255876	8.448959447210761E-8	0.0	0.0	0.0	0.0	0.0	0.0
AAR2	0.0	1.0289918540631617E-7	0.0	0.0	0.0	0.0	0.0	2.7695683156953376E-8
AARD	0.002221133991774089	1.0476960019376355E-7	5.63628868283439E-4	4.439915181228185E-9	1.87876289427813E-4	1.4799717270760616E-9	0.0	2.7695683156953376E-8
AARS	0.0	3.001226241017555E-7	0.0	1.7149864234386028E-8	0.0	1.7149864234386028E-8	0.0	2.7695683156953376E-8
AARS2	0.0011593667332040365	3.506645508676457E-7	0.0	0.0	0.0	0.0	0.0	1.107827326278135E-7
AARSD1	0.0016201909029875331	1.2746361562615456E-7	5.7906751332897974E-5	6.3881414993959715E-9	5.7906751332897974E-5	6.3881414993959715E-9	0.0	2.7695683156953376E-8
AASDH	0.0021908314506959136	2.859875198477325E-7	2.5578941483031955E-5	7.608968944320361E-9	1.0231576593212782E-4	3.0435875777281444E-8	0.0	0.0
AASDHPPT	0.0	9.432425328912315E-8	0.0	0.0	0.0	0.0	0.0	2.7695683156953376E-8
AASS	0.005275217277792626	3.667322089482287E-7	3.332797942683972E-4	2.171374997003686E-8	3.332797942683972E-4	2.171374997003686E-8	0.0	1.107827326278135E-7
AATF	0.0	1.886485065782463E-7	0.0	8.574932117193014E-9	0.0	1.7149864234386028E-8	0.0	5.539136631390675E-8
AATK	0.0	4.716212664456158E-7	0.0	2.5724796351579042E-8	0.0	0.0	0.0	1.107827326278135E-7
ABAT	0.0013340349861567966	1.9829453278848215E-7	1.1186687125497289E-4	4.350391474318001E-9	3.356006137649187E-4	1.3051174422954E-8	0.0	2.7695683156953376E-8
ABCA1	0.0	6.688447051410551E-7	0.0	4.2874660585965074E-8	0.0	1.7149864234386028E-8	0.0	8.308704947086012E-8
ABCA10	0.004219574083171714	6.466956189335133E-7	2.476474580648401E-4	5.9247298072610315E-8	1.2382372903242005E-4	2.9623649036305157E-8	2.5011324189603976E-4	1.910587057832143E-7
ABCA12	0.00450265314814236	1.4506239719617303E-6	0.0	9.432425328912315E-8	0.0	4.2874660585965074E-8	8.235819195078488E-4	3.426771707111347E-7
ABCA13	0.011394528983440119	2.9053455891602168E-6	0.0	1.6292371022666728E-7	0.0	6.00245248203511E-8	0.0014606131843369619	4.311514268727342E-7
ABCA2	0.0018385376298065185	9.16686656505533E-7	7.163250041199935E-5	2.3019666531227512E-8	4.7755000274666235E-5	1.5346444354151675E-8	0.0	8.308704947086012E-8
ABCA3	0.005247323069410841	6.593332978472458E-7	1.601478711380743E-4	1.1102039861514509E-8	4.80443613414223E-4	3.330611958454353E-8	1.7346682031172872E-4	2.0040740691542227E-7
ABCA4	0.0	9.689673292428106E-7	2.341732292016506E-4	5.97561388654685E-8	1.4635826825103163E-4	3.73475867909178E-8	0.0	1.107827326278135E-7
ABCA5	0.0	5.144959270315808E-7	0.0	3.4299728468772056E-8	0.0	3.4299728468772056E-8	5.714014289718332E-4	1.7956629409902055E-7
ABCA6	0.007403310489506017	5.521897903120872E-7	7.808354207448946E-4	3.053705517605656E-8	0.0010039312552434358	3.926192808350129E-8	6.874528982289043E-5	1.8548479613955386E-7
ABCA7	0.0	9.861171934771965E-7	0.0	3.4299728468772056E-8	0.0	1.7149864234386028E-8	0.0	1.6617409894172025E-7
ABCA8	0.0011337042071300578	1.0462031720217322E-6	4.189695738229393E-4	6.992735374862697E-8	4.189695738229393E-4	6.992735374862697E-8	0.0	1.107827326278135E-7
ABCA9	0.004039275253031735	8.164281343698401E-7	2.492441100798023E-4	5.918700210425019E-8	1.8693308255985172E-4	4.439025157818764E-8	2.383872831603451E-4	1.6479325878657567E-7
