gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
A1BG	0.0	2.2294823504701837E-7	0.0	8.574932117193014E-9	0.0	0.0	0.0	2.7695683156953376E-8
A1CF	0.005976815980303277	3.745367632828367E-7	7.205531798699426E-4	3.281355378340002E-8	2.0587233710569786E-4	9.375301080971434E-9	2.751803938475441E-4	7.72184877961857E-8
A2M	0.0026579881936151513	8.943158566754536E-7	0.0	5.1449592703158085E-8	0.0	5.1449592703158085E-8	0.0	2.21565465255627E-7
A2ML1	0.0	8.060436190161433E-7	5.275982597495644E-4	7.440003205706575E-8	1.4389043447715397E-4	2.02909178337452E-8	2.603367879591691E-4	1.3442035526991573E-7
A3GALT2	0.0015709192747526326	1.8077390214942084E-7	5.508399765680474E-6	8.366912902690436E-9	0.0	0.0	0.0	5.539136631390675E-8
A4GALT	0.0	1.714986423438603E-7	2.0375378598016592E-5	7.805476298543215E-9	0.0	0.0	0.0	2.7695683156953376E-8
A4GNT	0.001736758428322745	2.4311060911838757E-7	1.6998749827467832E-5	1.650792342815283E-8	0.0	8.574932117193014E-9	0.0	2.7695683156953376E-8
AAAS	0.0	2.0579837081263234E-7	0.0	8.574932117193014E-9	0.0	8.574932117193014E-9	8.096338088081646E-4	6.742161515155612E-8
AACS	0.0012504709384842706	2.186001098064242E-7	3.803815526273612E-4	1.993499911818915E-8	9.50953881568403E-5	4.9837497795472875E-9	0.0	0.0
AADAC	0.0043116932625239515	1.8017049581984936E-7	0.0	8.574932117193014E-9	0.0	8.574932117193014E-9	7.984962107279489E-5	7.334764836772477E-8
AADACL2	0.0016202786198402364	2.560842848447327E-7	0.0	1.7149864234386028E-8	0.0	0.0	7.278907611516553E-4	4.9696277724780526E-8
AADACL3	0.0	2.315231671642114E-7	3.928948033314596E-5	1.566613625806225E-8	0.0	0.0	0.0031038493112242275	1.4763592787513738E-7
AADACL4	0.0	3.6014714892210657E-7	0.0	1.7149864234386028E-8	0.0	0.0	5.0436329885636036E-5	4.9239556946164826E-8
AADAT	0.0	1.286239817578952E-7	0.0	0.0	8.950781944778032E-5	1.3769690847303323E-8	0.0	5.539136631390675E-8
AAED1	1.6927811357090973E-4	6.220683807990596E-8	0.0	0.0	0.0	0.0	0.0	0.0
AAGAB	0.0013635359065096637	9.428127459515788E-8	0.0	8.574932117193014E-9	0.0	0.0	0.0	2.7695683156953376E-8
AAK1	0.001430475935718684	3.833010432467776E-7	0.0	3.4299728468772056E-8	0.0	8.574932117193014E-9	3.5366555227946605E-4	1.2303687895577392E-7
AAMDC	0.0	4.2874660585965074E-8	0.0	0.0	0.0	0.0	1.0461917187839285E-4	1.493509563866544E-8
AAMP	0.0	1.4577384599228124E-7	0.0	1.7149864234386028E-8	0.0	0.0	0.0	8.308704947086012E-8
AANAT	0.002304020905255876	8.448959447210761E-8	0.0	0.0	0.0	0.0	0.0	0.0
AAR2	0.0	1.1147411752350919E-7	0.0	0.0	0.0	0.0	0.0	2.7695683156953376E-8
AARD	0.002221133991774089	1.0476960019376355E-7	5.63628868283439E-4	4.439915181228185E-9	1.87876289427813E-4	1.4799717270760616E-9	7.3600119355821E-4	4.8707033777645306E-8
AARS	0.0	3.001226241017555E-7	0.0	1.7149864234386028E-8	0.0	1.7149864234386028E-8	0.0	2.7695683156953376E-8
AARS2	0.0011593667332040365	3.506645508676457E-7	0.0	8.574932117193014E-9	0.0	0.0	0.0	1.3847841578476687E-7
AARSD1	0.001767480985077309	1.3905121704671404E-7	5.7906751332897974E-5	6.3881414993959715E-9	5.7906751332897974E-5	6.3881414993959715E-9	0.0	2.7695683156953376E-8
AASDH	0.002292730587937584	2.992892649569294E-7	2.5578941483031955E-5	7.608968944320361E-9	1.0231576593212782E-4	3.0435875777281444E-8	0.0	0.0
AASDHPPT	0.0	9.432425328912315E-8	0.0	0.0	0.0	0.0	0.0	2.7695683156953376E-8
AASS	0.0055149998813286555	3.834018548095118E-7	3.332797942683972E-4	2.171374997003686E-8	1.0621349090781594E-4	2.171374997003686E-8	0.0	1.107827326278135E-7
AATF	0.0	1.886485065782463E-7	0.0	8.574932117193014E-9	0.0	1.7149864234386028E-8	0.0	5.539136631390675E-8
AATK	0.0	4.973460627971948E-7	0.0	1.7149864234386028E-8	0.0	0.0	0.0	1.3847841578476687E-7
ABAT	0.0013340349861567966	1.9829453278848215E-7	1.1186687125497289E-4	4.350391474318001E-9	3.356006137649187E-4	1.3051174422954E-8	0.0	2.7695683156953376E-8
ABCA1	0.0	7.117193657270202E-7	0.0	6.00245248203511E-8	0.0	1.7149864234386028E-8	0.0	1.9386978209867363E-7
ABCA10	0.00430935225515409	6.604551001874179E-7	2.0581154704258828E-5	5.9247298072610315E-8	0.0	1.7149864234386028E-8	3.7516986284405967E-4	2.865880586748214E-7
ABCA12	0.005050595065641166	1.6271549315126285E-6	0.0	1.1147411752350919E-7	0.0	4.2874660585965074E-8	0.001029477399384811	4.283464633889184E-7
