gene	missenseVusDriversPerSample	missensePassengersPerMutation
A1BG	0.0	1.0997175485448318E-7
A1CF	0.002320229243312607	3.105065856108527E-7
A2M	8.275312996099004E-4	9.98959194339744E-7
A2ML1	7.586843356538702E-4	2.5583789472225327E-7
A3GALT2	1.8022697488006818E-4	4.012650936482511E-8
A4GALT	1.905906075360856E-4	3.6110182355475596E-8
AAAS	1.8007885370274271E-4	4.018391231462993E-8
AADAC	1.6542479029436533E-4	4.586295484896882E-8
AADACL4	5.243566507191453E-4	1.2670584478605567E-7
AADAT	1.7406772580397047E-4	4.2513467610327855E-8
AAED1	5.077458538834241E-4	2.3171445846478275E-8
AAGAB	2.0430501298776237E-4	3.0795295301778487E-8
AAK1	1.1072824860212124E-4	6.706007800143982E-8
AAMP	3.114828392065679E-4	9.923130564142507E-8
AARD	2.185412203928572E-4	2.52781888768817E-8
AARS	1.4854390644987456E-4	1.6237673526308567E-7
AARS2	4.2662434163112455E-4	1.645810692082954E-7
AARSD1	2.0205296481020252E-4	3.16680550977018E-8
AASDH	3.8028556588528043E-4	7.256746501251607E-8
AASDHPPT	1.9595336948116567E-4	3.403189510238284E-8
AASS	2.472266072702848E-4	2.341049504422752E-7
ABAT	0.0010233651752777166	4.329160443966165E-8
ABCA1	7.116322920237947E-4	3.840442204023281E-7
ABCA10	0.0014478531392974484	9.872885156450124E-8
ABCA12	0.0014802119922963709	5.260755060732549E-7
ABCA4	0.0016210321528145274	5.814737505648815E-7
ABCA5	5.946546482820291E-4	9.946252618472896E-8
ABCA6	3.116570410726152E-4	9.916379536940876E-8
ABCA7	0.003236817079176579	8.350657491409817E-7
ABCA8	1.6821343067741502E-4	2.6472575356966006E-7
ABCA9	7.295729145569283E-4	2.6711974836498227E-7
ABCB11	0.002589953248107879	9.600586475715749E-8
ABCB6	2.1906442639890166E-4	1.3504718023295873E-7
ABCB7	0.0011046441164540173	3.4170799041750584E-7
ABCC11	2.3852174311399384E-4	7.873372118098102E-7
ABCC2	9.551106428047286E-4	7.295735267585623E-7
ABCC3	6.662826034544405E-4	7.170379519416302E-8
ABCC4	0.0027927346057813208	3.4733514785555353E-7
ABCC5	5.581606900950168E-4	3.335489213865988E-7
ABCC6	2.59154004359444E-4	3.3945435629323477E-7
ABCC9	0.0016333245229510124	2.467946951737611E-7
ABCD1	0.0012231642126653204	4.057484121802308E-7
ABCD2	9.383563099471834E-4	7.623597956308285E-8
ABCD3	4.1986496975746833E-4	1.672005993212853E-7
ABCD4	1.7288332269447507E-4	4.2972471741071704E-8
ABCE1	1.488915492739124E-4	5.227025474723131E-8
ABCF1	1.4122538846740327E-4	5.524120226410629E-8
ABCG1	3.850905706408857E-5	3.1499144671650204E-7
ABCG4	1.9420132224571597E-4	1.4468263915562993E-7
ABHD10	2.038279069977563E-4	3.0980193178573764E-8
ABHD14A-ACY1	1.2070975186600386E-5	1.0529376352844159E-7
ABHD15	1.58599169490636E-5	1.0382539527934143E-7
ABHD16A	0.0	1.0997175485448318E-7
ABHD16B	7.384910501385125E-4	4.3720100253757865E-8
ABHD17A	0.0010651228234697073	2.7108826079312425E-8
ABHD17B	4.8253274210940543E-4	3.294254688496815E-8
ABHD17C	1.8297978903628097E-4	3.905968248912553E-8
ABHD2	1.8738638550299956E-4	3.735194804928027E-8
ABHD5	0.001049832967314305	3.303426402990938E-8
ABHD6	2.056917217875684E-4	3.025788952992013E-8
ABI1	7.268863121704381E-4	4.821740579174784E-8
ABI2	4.3865804556830664E-4	4.994576714506808E-8
ABI3BP	8.96403292590281E-4	9.249447138027415E-8
ABLIM1	3.906656367974668E-4	6.854476751374175E-8
ABLIM2	9.482143408845016E-4	1.823873485329346E-7
ABLIM3	0.0	2.1994350970896636E-7
ABR	0.002315286018355536	3.1242228530490234E-7
ABT1	2.1318635530544026E-4	2.7353415778090692E-8
AC000003.2	2.351299784128447E-4	1.8849373894853723E-8
AC002365.1	2.7783654059663E-4	1.1227060782020981E-7
AC002451.1	2.3061004420970094E-4	2.0601031293674062E-8
AC002472.13	1.7693596059197505E-4	4.1401910569416145E-8
AC004381.6	0.0	1.0997175485448318E-7
AC004817.1	7.839291758953867E-4	2.611098790977756E-8
AC005003.1	2.446586855309642E-4	1.5156614315956128E-8
AC005008.2	2.3700108834393867E-4	1.8124243083761985E-8
AC005609.1	0.0	1.0997175485448318E-7
AC005841.1	2.0904558096257404E-4	2.895813338868825E-8
AC006372.1	1.9988778364605467E-4	3.250715041093182E-8
AC006435.1	2.4253131980923567E-4	1.5981054615080545E-8
AC006547.14	7.512794712632648E-4	3.8764069595873015E-8
AC007952.5	4.590552354366349E-4	4.204103071701348E-8
AC008394.1	4.0386568895148397E-4	6.342921317573469E-8
AC008498.1	2.5691722340692513E-4	1.0405934858230554E-8
AC009060.1	2.641375738222409E-4	7.60775690726246E-9
