gene	missenseVusDriversPerSample	missensePassengersPerMutation
A1BG	0.0	1.6082866648750354E-7
A1CF	0.006015624416299502	3.563089771179352E-7
A2M	0.0	8.907433836230965E-7
A2ML1	0.0010356762111949328	7.713624546263555E-7
A3GALT2	0.001939390251352943	1.628772371435417E-7
A4GALT	0.0	1.7320010237115765E-7
AAAS	0.0	1.7320010237115765E-7
AADAC	0.0051732640495599025	1.8271890150842448E-7
AADACL4	6.090240341461989E-4	3.322200563178541E-7
AADAT	3.086041409425823E-4	1.2263159848710626E-7
AAED1	2.466499705663889E-4	5.1103995437167575E-8
AAGAB	0.0014355844034111397	1.10613015193189E-7
AAK1	0.0021917211844834053	3.745622264838579E-7
AAMP	1.0448589406505548E-4	1.3153052946015277E-7
AARD	0.001557773849051199	9.291449337273406E-8
AARS	2.98625291058434E-4	2.467810046438545E-7
AARS2	0.002439033557405748	3.0192298436868016E-7
AARSD1	7.303803668183942E-4	1.4135775330235968E-7
AASDH	0.002040247632604892	2.8219452277563856E-7
AASDHPPT	0.0	7.422861530192471E-8
AASS	0.0038047777828690084	4.89809432915148E-7
ABAT	0.0	2.3505728178942825E-7
ABCA1	0.0	7.175432812519388E-7
ABCA10	0.0041664639941242565	6.472411232158533E-7
ABCA12	0.001918980994622037	1.7720536831608208E-6
ABCA4	0.0	1.1010577936452166E-6
ABCA5	0.0	5.19600307113473E-7
ABCA6	0.00677087739995208	6.450395910390383E-7
ABCA7	0.0	7.794004606702094E-7
ABCA8	0.0	1.2000292807144495E-6
ABCA9	0.004588601021221141	8.020373429220956E-7
ABCB11	0.005205326359155829	7.998928771016839E-7
ABCB6	0.001939886485031288	2.618270899428471E-7
ABCB7	0.0019416096937901937	2.3700909154657632E-7
ABCC11	0.0	8.660005118557883E-7
ABCC2	0.0018278818486251167	5.388817388024072E-7
ABCC3	0.0	7.299147171355929E-7
ABCC4	0.001091272575358759	5.462527773649109E-7
ABCC5	0.001036975255698819	6.228485896571426E-7
ABCC6	0.0	8.536290759721341E-7
ABCC9	0.0120296702856949	8.24029697003508E-7
ABCD1	0.0	1.8557153825481176E-7
ABCD2	0.004952254014380727	3.0369718571634985E-7
ABCD3	0.0	1.7320010237115765E-7
ABCD4	0.0015928546951174062	1.5324225524801272E-7
ABCE1	0.0	1.360857947201953E-7
ABCF1	7.320164385566349E-5	2.813516576450153E-7
ABCG1	0.0	2.721715894403906E-7
ABCG4	0.003091425023722068	2.7348071271994833E-7
ABHD10	2.233649683618017E-4	7.68620220497464E-8
ABHD14A-ACY1	0.0	1.360857947201953E-7
ABHD15	0.0	1.360857947201953E-7
ABHD16A	0.0	6.185717941827058E-8
ABHD16B	0.001831533101512278	2.4180809414146487E-7
ABHD17A	3.039853440697031E-4	1.1046152801384065E-7
ABHD17B	5.303014430317737E-4	1.0059483861413678E-7
ABHD17C	3.638472441138753E-4	1.2022316822975062E-7
ABHD2	0.0012605308508459405	1.9247342973253792E-7
ABHD5	0.0	1.1134292295288707E-7
ABHD6	5.568884934050313E-4	8.706428868914715E-8
ABI1	0.0011738589001666277	1.3439488215239634E-7
ABI2	0.0022689868884667977	1.237649605459817E-7
ABI3BP	0.0020809711934942202	6.515621766423848E-7
ABLIM1	0.0	3.0928589709135296E-7
ABLIM2	5.049605750281624E-4	3.1201403293952647E-7
ABLIM3	0.0	4.0825738416058587E-7
ABR	0.0	1.6082866648750354E-7
ABT1	0.00271277265094944	1.2916013102951677E-7
AC000003.2	2.0135041765639145E-4	6.545035321351173E-8
AC002365.1	0.0	3.7114307650962355E-8
AC002451.1	0.0018426247829501782	6.812442839956106E-8
AC002472.13	2.8456704741778086E-4	1.3605097809623346E-7
AC004381.6	0.0	2.8454302532404473E-7
AC004817.1	3.5042178805753055E-5	1.5930093471874767E-7
AC005003.1	0.0	4.948574353461647E-8
AC005008.2	8.760663830314128E-4	4.8406237601236244E-8
AC005609.1	0.0	1.9794297413846588E-7
AC005841.1	0.0014179813408383682	9.900901897328675E-8
AC006372.1	5.867375682582278E-4	1.5999157566402975E-7
AC006435.1	0.0	3.7114307650962355E-8
AC006547.14	3.014443753204975E-4	7.345799882511649E-8
AC007952.5	0.0	3.7114307650962355E-8
AC008394.1	0.001383735086350721	1.0050205087725863E-7
AC008498.1	0.0	2.4742871767308235E-8
AC009060.1	1.1187433570961409E-4	1.9865493059795445E-8
AC010336.1	0.0	7.422861530192471E-8
AC011755.1	0.0	4.948574353461647E-8
AC011897.1	9.473919634347816E-7	6.181587602763309E-8
AC012123.1	0.0	8.660005118557883E-8
AC012215.1	0.0034807351826062847	7.093644280584924E-8
AC012414.1	0.0026450987309382815	1.444819427471164E-7
AC015987.2	0.0	2.4742871767308235E-8
AC016757.3	0.0	7.422861530192471E-8
AC016885.1	9.217673752207726E-4	2.6909966009012264E-7
AC017028.1	0.0014625829479204206	2.2835910081093867E-8
AC018445.1	2.897832674663236E-4	2.4480643910581632E-8
AC018630.1	9.427518622451281E-5	8.261326241244618E-9
