gene	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv
TP53	14	745	168	70	215	38.5179	120.8067	120.8067	249.8717
PIK3CA	10	394	0	0	20	14.7543	0	0	9.7501
BRAF	3	155	0	0	11	14.3565	0	0	6.6785
KRAS	2	313	0	0	4	79.1815	0	0	8.6344
NRAS	3	77	1	0	1	18.8409	2.2882	2.2882	2.5231
PTEN	0	54	24	15	51	12.6268	74.4565	74.4565	66.9546
SMAD4	4	75	25	3	19	6.6638	21.5776	21.5776	15.0081
CDKN2A	5	50	19	7	30	6.5097	61.7191	61.7191	67.2698
PBRM1	5	35	30	6	20	1.8835	16.2252	16.2252	5.8159
KMT2C	30	126	52	7	38	1.3409	5.537	5.537	3.6608
NF1	15	64	32	13	33	1.4632	8.4883	8.4883	6.398
RB1	4	23	39	23	46	1.4624	24.5452	24.5452	22.3474
APC	15	66	249	10	156	1.215	44.1782	44.1782	26.5821
ARID1A	24	53	63	5	79	1.0232	16.8713	16.8713	16.4208
CDH1	8	29	15	10	29	1.6142	16.11	16.11	16.8892
KMT2D	51	130	44	5	58	1.0176	4.6353	4.6353	5.2761
BAP1	10	25	16	5	23	1.4275	13.8133	13.8133	15.6442
SOX9	4	20	9	1	26	2.1347	18.8092	18.8092	25.5862
VHL	1	16	3	4	18	3.8473	23.8049	23.8049	45.3047
ZFP36L2	8	28	1	0	42	2.1101	2.6442	2.6442	40.317
GATA3	13	22	3	0	34	1.1877	2.6319	2.6319	31.0541
MAP3K1	10	34	15	3	37	1.3114	7.2583	7.2583	11.9183
B2M	0	10	3	3	11	5.7201	24.9985	24.9985	36.4065
PIK3R1	6	31	5	2	28	2.007	3.2811	3.2811	18.3111
CDKN1B	1	12	5	4	10	3.212	31.0789	31.0789	16.7985
STK11	3	22	9	4	9	3.1541	23.3844	23.3844	9.0625
ELF3	5	11	5	3	15	1.1528	7.4569	7.4569	21.864
FBXW7	6	61	15	4	11	4.1592	9.5191	9.5191	7.0048
MAP2K4	2	29	6	7	9	4.3391	16.4612	16.4612	10.3295
SETD2	7	47	21	5	21	1.6395	8.3898	8.3898	4.0031
KDM6A	12	29	17	4	21	0.9391	4.8746	4.8746	7.6319
ARID2	14	41	23	4	14	1.0332	5.9583	5.9583	3.6003
FOXA1	7	42	0	0	15	3.4045	0	0	13.5439
ATM	11	90	24	10	22	2.392	6.4323	6.4323	3.5241
KIT	13	76	3	0	18	2.7633	1.0383	1.0383	8.686
ESR1	13	95	2	0	4	4.1149	1.1162	1.1162	3.0225
TBX3	16	40	2	3	22	1.4342	3.5704	3.5704	12.3623
RUNX1	10	12	2	0	18	0.7587	1.622	1.622	16.1808
TRIM49B	6	41	2	0	3	5.9677	2.502	2.502	7.3875
CBFB	2	5	1	3	9	1.1877	7.382	7.382	23.2782
NCOR1	12	34	17	6	12	0.8132	4.6037	4.6037	2.6862
POM121L12	22	52	6	0	2	3.4816	6.1514	6.1514	7.1212
GPS2	1	5	5	1	10	1.2011	10.6656	10.6656	12.9106
RNF43	2	26	8	0	15	2.8578	9.3562	9.3562	7.6607
AMER1	16	35	17	0	10	0.8878	5.1009	5.1009	4.2214
CDK12	18	23	9	1	18	0.5427	2.6907	2.6907	6.1771
TCF7L2	9	23	6	4	11	1.3438	5.8208	5.8208	7.8617
MLK4	15	61	10	4	9	2.1101	6.2794	6.2794	4.149
CTNNB1	6	71	2	0	3	4.3524	1.0976	1.0976	1.6232
SMARCA4	24	66	16	4	8	1.4444	5.1678	5.1678	2.2426
ZFP36L1	5	10	2	0	11	0.9032	4.2479	4.2479	13.1425
MAX	0	6	4	3	3	1.9323	16.9712	16.9712	8.6055
TGIF1	9	12	1	0	11	0.8869	1.3357	1.3357	13.005
MGA	16	57	13	6	20	1.1138	3.6449	3.6449	3.307
AKT1	5	41	0	0	1	4.311	0	0	1.063
ERBB2	8	63	2	1	6	3.5372	1.6472	1.6472	2.4948
ARID1B	28	39	7	2	24	0.6827	2.1473	2.1473	4.8684
NF2	9	9	6	5	3	0.495	4.8393	4.8393	2.2972
CDKN1A	3	5	2	0	6	1.1333	4.7315	4.7315	18.4213
RHOA	0	24	0	0	0	8.4309	0	0	0
HLA-A	1	10	5	2	3	2.1786	16.0487	16.0487	3.8687
CYLC2	9	32	0	0	8	1.5401	0	0	8.876
