gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
A1BG	0.000e+00	2.144e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
A1CF	5.806e-03	3.638e-07	7.206e-04	3.281e-08	2.059e-04	9.375e-09	4.811e-05	7.722e-08
A2M	2.543e-03	8.558e-07	0.000e+00	4.287e-08	0.000e+00	5.145e-08	0.000e+00	1.108e-07
A2ML1	0.000e+00	7.889e-07	4.796e-04	6.764e-08	1.439e-04	2.029e-08	3.327e-05	1.344e-07
A3GALT2	1.403e-03	1.614e-07	5.508e-06	8.367e-09	0.000e+00	0.000e+00	0.000e+00	5.539e-08
A4GALT	0.000e+00	1.629e-07	2.038e-05	7.805e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
A4GNT	1.689e-03	2.364e-07	1.627e-04	1.101e-08	0.000e+00	0.000e+00	0.000e+00	2.770e-08
AAAS	0.000e+00	2.058e-07	0.000e+00	8.575e-09	0.000e+00	0.000e+00	6.747e-04	5.618e-08
AACS	1.250e-03	2.186e-07	3.804e-04	1.993e-08	9.510e-05	4.984e-09	0.000e+00	0.000e+00
AADAC	3.988e-03	1.667e-07	0.000e+00	8.575e-09	0.000e+00	8.575e-09	0.000e+00	5.539e-08
AADACL2	1.533e-03	2.422e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	5.008e-04	4.970e-08
AADACL3	0.000e+00	2.315e-07	3.929e-05	1.567e-08	0.000e+00	0.000e+00	3.164e-03	1.403e-07
AADACL4	0.000e+00	3.430e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	5.044e-05	4.924e-08
AADAT	0.000e+00	1.286e-07	0.000e+00	0.000e+00	8.951e-05	1.377e-08	2.226e-04	5.593e-08
PRXL2C	1.693e-04	6.221e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AAGAB	1.364e-03	9.428e-08	0.000e+00	8.575e-09	0.000e+00	0.000e+00	0.000e+00	2.770e-08
AAK1	1.374e-03	3.683e-07	0.000e+00	3.430e-08	0.000e+00	8.575e-09	2.947e-04	1.025e-07
AAMDC	0.000e+00	4.287e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.046e-04	1.494e-08
AAMP	0.000e+00	1.458e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	8.309e-08
AANAT	2.304e-03	8.449e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00
AAR2	0.000e+00	1.029e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
AARD	2.221e-03	1.048e-07	5.636e-04	4.440e-09	1.879e-04	1.480e-09	0.000e+00	2.770e-08
AARS1	0.000e+00	3.001e-07	0.000e+00	1.715e-08	0.000e+00	1.715e-08	0.000e+00	2.770e-08
AARS2	1.159e-03	3.507e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.108e-07
AARSD1	1.620e-03	1.275e-07	5.791e-05	6.388e-09	5.791e-05	6.388e-09	0.000e+00	2.770e-08
AASDH	2.191e-03	2.860e-07	2.558e-05	7.609e-09	1.023e-04	3.044e-08	0.000e+00	0.000e+00
AASDHPPT	0.000e+00	9.432e-08	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.770e-08
AASS	5.275e-03	3.667e-07	3.333e-04	2.171e-08	3.333e-04	2.171e-08	0.000e+00	1.108e-07
AATF	0.000e+00	1.886e-07	0.000e+00	8.575e-09	0.000e+00	1.715e-08	0.000e+00	5.539e-08
AATK	0.000e+00	4.716e-07	0.000e+00	2.572e-08	0.000e+00	0.000e+00	0.000e+00	1.108e-07
ABAT	1.334e-03	1.983e-07	1.119e-04	4.350e-09	3.356e-04	1.305e-08	0.000e+00	2.770e-08
ABCA1	0.000e+00	6.688e-07	0.000e+00	4.287e-08	0.000e+00	1.715e-08	0.000e+00	8.309e-08
ABCA10	4.220e-03	6.467e-07	2.476e-04	5.925e-08	1.238e-04	2.962e-08	2.501e-04	1.911e-07
ABCA12	4.503e-03	1.451e-06	0.000e+00	9.432e-08	0.000e+00	4.287e-08	8.236e-04	3.427e-07
ABCA13	1.139e-02	2.905e-06	0.000e+00	1.629e-07	0.000e+00	6.002e-08	1.461e-03	4.312e-07
ABCA2	1.839e-03	9.167e-07	7.163e-05	2.302e-08	4.776e-05	1.535e-08	0.000e+00	8.309e-08
ABCA3	5.247e-03	6.593e-07	1.601e-04	1.110e-08	4.804e-04	3.331e-08	1.735e-04	2.004e-07
ABCA4	0.000e+00	9.690e-07	2.342e-04	5.976e-08	1.464e-04	3.735e-08	0.000e+00	1.108e-07
ABCA5	0.000e+00	5.145e-07	0.000e+00	3.430e-08	0.000e+00	3.430e-08	5.714e-04	1.796e-07
ABCA6	7.403e-03	5.522e-07	7.808e-04	3.054e-08	1.004e-03	3.926e-08	6.875e-05	1.855e-07
ABCA7	0.000e+00	9.861e-07	0.000e+00	3.430e-08	0.000e+00	1.715e-08	0.000e+00	1.662e-07
ABCA8	1.134e-03	1.046e-06	4.190e-04	6.993e-08	4.190e-04	6.993e-08	0.000e+00	1.108e-07
ABCA9	4.039e-03	8.164e-07	2.492e-04	5.919e-08	1.869e-04	4.439e-08	2.384e-04	1.648e-07
ABCB1	0.000e+00	1.029e-06	0.000e+00	6.002e-08	0.000e+00	4.287e-08	0.000e+00	2.216e-07
ABCB10	0.000e+00	2.744e-07	0.000e+00	8.575e-09	0.000e+00	2.572e-08	0.000e+00	8.309e-08
ABCB11	2.193e-03	8.261e-07	9.978e-05	3.911e-08	9.978e-05	3.911e-08	1.391e-05	1.368e-07
ABCB4	2.044e-03	6.345e-07	3.049e-04	3.136e-08	4.268e-04	4.391e-08	9.070e-04	1.386e-07
ABCB5	7.384e-03	8.359e-07	0.000e+00	9.432e-08	0.000e+00	3.430e-08	0.000e+00	1.662e-07
ABCB6	2.052e-04	2.924e-07	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	1.385e-07
ABCB7	1.170e-03	2.988e-07	0.000e+00	2.572e-08	0.000e+00	8.575e-09	0.000e+00	2.770e-08
ABCB8	0.000e+00	2.915e-07	0.000e+00	0.000e+00	0.000e+00	1.715e-08	0.000e+00	2.770e-08
ABCB9	3.891e-04	3.197e-07	0.000e+00	2.572e-08	0.000e+00	0.000e+00	0.000e+00	1.108e-07
ABCC1	6.221e-04	6.797e-07	4.873e-05	3.246e-08	2.436e-05	1.623e-08	0.000e+00	1.108e-07
ABCC10	3.974e-03	4.330e-07	1.218e-04	2.970e-08	3.046e-05	7.425e-09	0.000e+00	2.216e-07
ABCC11	0.000e+00	8.489e-07	0.000e+00	2.572e-08	0.000e+00	3.430e-08	0.000e+00	8.309e-08
ABCC12	0.000e+00	8.832e-07	0.000e+00	4.287e-08	0.000e+00	8.575e-09	0.000e+00	1.385e-07
ABCC2	3.118e-03	5.168e-07	5.738e-05	2.356e-08	5.738e-05	2.356e-08	0.000e+00	1.385e-07
ABCC3	0.000e+00	7.374e-07	1.005e-04	2.193e-08	2.345e-04	5.117e-08	0.000e+00	8.309e-08
ABCC4	2.190e-03	5.604e-07	6.662e-04	4.344e-08	4.996e-04	3.258e-08	0.000e+00	5.539e-08
ABCC5	0.000e+00	6.517e-07	0.000e+00	1.715e-08	0.000e+00	0.000e+00	0.000e+00	1.108e-07
ABCC6	0.000e+00	7.546e-07	0.000e+00	2.572e-08	0.000e+00	2.572e-08	0.000e+00	1.662e-07
ABCC8	3.490e-03	8.458e-07	2.053e-05	4.210e-08	2.053e-05	4.210e-08	0.000e+00	2.770e-08
ABCC9	1.187e-02	7.606e-07	1.220e-03	6.542e-08	2.815e-04	1.510e-08	0.000e+00	1.385e-07
