gene	missenseVusDriversPerSample	missensePassengersPerMutation	nonsenseVusDriversPerSample	nonsensePassengersPerMutation	spliceVusDriversPerSample	splicePassengersPerMutation	indelVusDriversPerSample	indelPassengersPerMutation
A1BG	0	2.22948235047018e-07	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
A1CF	0.00597681598030328	3.74536763282837e-07	0.000720553179869943	3.28135537834e-08	0.000205872337105698	9.37530108097143e-09	0.000275180393847544	7.72184877961857e-08
A2M	0.00265798819361515	8.94315856675454e-07	0	5.14495927031581e-08	0	5.14495927031581e-08	0	2.21565465255627e-07
A2ML1	0	8.06043619016143e-07	0.000527598259749564	7.44000320570657e-08	0.000143890434477154	2.02909178337452e-08	0.000260336787959169	1.34420355269916e-07
A3GALT2	0.00157091927475263	1.80773902149421e-07	5.50839976568047e-06	8.36691290269044e-09	0	0	0	5.53913663139068e-08
A4GALT	0	1.7149864234386e-07	2.03753785980166e-05	7.80547629854321e-09	0	0	0	2.76956831569534e-08
A4GNT	0.00173675842832275	2.43110609118388e-07	1.69987498274678e-05	1.65079234281528e-08	0	8.57493211719301e-09	0	2.76956831569534e-08
AAAS	0	2.05798370812632e-07	0	8.57493211719301e-09	0	8.57493211719301e-09	0.000809633808808165	6.74216151515561e-08
AACS	0.00125047093848427	2.18600109806424e-07	0.000380381552627361	1.99349991181891e-08	9.50953881568403e-05	4.98374977954729e-09	0	0
AADAC	0.00431169326252395	1.80170495819849e-07	0	8.57493211719301e-09	0	8.57493211719301e-09	7.98496210727949e-05	7.33476483677248e-08
AADACL2	0.00162027861984024	2.56084284844733e-07	0	1.7149864234386e-08	0	0	0.000727890761151655	4.96962777247805e-08
AADACL3	0	2.31523167164211e-07	3.9289480333146e-05	1.56661362580622e-08	0	0	0.00310384931122423	1.47635927875137e-07
AADACL4	0	3.60147148922107e-07	0	1.7149864234386e-08	0	0	5.0436329885636e-05	4.92395569461648e-08
AADAT	0	1.28623981757895e-07	0	0	8.95078194477803e-05	1.37696908473033e-08	0	5.53913663139068e-08
PRXL2C	0.00016927811357091	6.2206838079906e-08	0	0	0	0	0	0
AAGAB	0.00136353590650966	9.42812745951579e-08	0	8.57493211719301e-09	0	0	0	2.76956831569534e-08
AAK1	0.00143047593571868	3.83301043246778e-07	0	3.42997284687721e-08	0	8.57493211719301e-09	0.000353665552279466	1.23036878955774e-07
AAMDC	0	4.28746605859651e-08	0	0	0	0	0.000104619171878393	1.49350956386654e-08
AAMP	0	1.45773845992281e-07	0	1.7149864234386e-08	0	0	0	8.30870494708601e-08
AANAT	0.00230402090525588	8.44895944721076e-08	0	0	0	0	0	0
AAR2	0	1.11474117523509e-07	0	0	0	0	0	2.76956831569534e-08
AARD	0.00222113399177409	1.04769600193764e-07	0.000563628868283439	4.43991518122818e-09	0.000187876289427813	1.47997172707606e-09	0.00073600119355821	4.87070337776453e-08
AARS1	0	3.00122624101756e-07	0	1.7149864234386e-08	0	1.7149864234386e-08	0	2.76956831569534e-08
AARS2	0.00115936673320404	3.50664550867646e-07	0	8.57493211719301e-09	0	0	0	1.38478415784767e-07
AARSD1	0.00176748098507731	1.39051217046714e-07	5.7906751332898e-05	6.38814149939597e-09	5.7906751332898e-05	6.38814149939597e-09	0	2.76956831569534e-08
AASDH	0.00229273058793758	2.99289264956929e-07	2.5578941483032e-05	7.60896894432036e-09	0.000102315765932128	3.04358757772814e-08	0	0
AASDHPPT	0	9.43242532891232e-08	0	0	0	0	0	2.76956831569534e-08
AASS	0.00551499988132866	3.83401854809512e-07	0.000333279794268397	2.17137499700369e-08	0.000106213490907816	2.17137499700369e-08	0	1.10782732627814e-07
AATF	0	1.88648506578246e-07	0	8.57493211719301e-09	0	1.7149864234386e-08	0	5.53913663139068e-08
AATK	0	4.97346062797195e-07	0	1.7149864234386e-08	0	0	0	1.38478415784767e-07
ABAT	0.0013340349861568	1.98294532788482e-07	0.000111866871254973	4.350391474318e-09	0.000335600613764919	1.3051174422954e-08	0	2.76956831569534e-08
ABCA1	0	7.1171936572702e-07	0	6.00245248203511e-08	0	1.7149864234386e-08	0	1.93869782098674e-07
ABCA10	0.00430935225515409	6.60455100187418e-07	2.05811547042588e-05	5.92472980726103e-08	0	1.7149864234386e-08	0.00037516986284406	2.86588058674821e-07
ABCA12	0.00505059506564117	1.62715493151263e-06	0	1.11474117523509e-07	0	4.28746605859651e-08	0.00102947739938481	4.28346463388918e-07
ABCA13	0.012859121397764	3.27878332555613e-06	0	1.80073574461053e-07	0	6.00245248203511e-08	0.00227469843994017	5.81117140567598e-07
ABCA2	0.00195044861596865	9.72484974727609e-07	7.16325004119993e-05	2.30196665312275e-08	0	2.5724796351579e-08	0	1.10782732627814e-07
ABCA3	0.00571958214565782	7.18673294653498e-07	9.32294389155673e-05	2.2204079723029e-08	0.000480443613414223	3.33061195845435e-08	0	2.21565465255627e-07
ABCA4	0	1.05471665041474e-06	0.000263444882851857	6.72256562236521e-08	0.000175629921901238	4.48171041491014e-08	0	1.38478415784767e-07
ABCA5	0	5.4022072338316e-07	0	4.28746605859651e-08	0	4.28746605859651e-08	0.000878314505565656	1.97522923508923e-07
ABCA6	0.00763227885516084	5.69267825064007e-07	0.000665317034633584	3.48994916297789e-08	0.00111547917249271	4.36243645372237e-08	0.000522877896544053	1.85484796139554e-07
ABCA7	0	1.07186651464913e-06	0	3.42997284687721e-08	0	2.5724796351579e-08	0	1.93869782098674e-07
ABCA8	0.00123189905971613	1.13681919479527e-06	0.000418969573822939	6.9927353748627e-08	0.000502763488587527	8.39128244983524e-08	0	1.6617409894172e-07
ABCA9	0.00418225844782932	8.45328245320985e-07	0.000342710651359728	8.1382127893344e-08	2.2177806719221e-05	5.91870021042502e-08	0.000471114076420808	2.47189888179864e-07
ABCB1	0	1.11474117523509e-06	0	7.71743890547371e-08	0	4.28746605859651e-08	0	2.4926114841258e-07
ABCB10	0	2.82972759867369e-07	0	8.57493211719301e-09	0	2.5724796351579e-08	0	8.30870494708601e-08
ABCB11	0.00231716967145636	8.72886799233341e-07	0.000139691706366275	5.47492070752805e-08	0.00011973574831395	4.69278917788118e-08	0	1.38478415784767e-07
ABCB4	0.00216697191834941	6.72760496525864e-07	7.78130811057799e-05	3.13611951926473e-08	0.000426831138252906	4.39056732697063e-08	0.00124745309518266	1.52498429483483e-07
ABCB5	0.00812240623213504	9.19480735327503e-07	0	9.43242532891232e-08	0	3.42997284687721e-08	0.00045275830187642	1.66341725361747e-07
ABCB6	0.000216976377803818	3.09078592178209e-07	0	8.57493211719301e-09	0	8.57493211719301e-09	0.000130393622246617	1.77965438768193e-07
ABCB7	0.00122821476897753	3.13764845104038e-07	0	1.7149864234386e-08	0	8.57493211719301e-09	0	2.76956831569534e-08
ABCB8	0	2.91547691984562e-07	0	0	0	1.7149864234386e-08	0	8.30870494708601e-08
ABCB9	0.000409016345090566	3.36126123121852e-07	0	1.7149864234386e-08	0	0	0	1.10782732627814e-07
ABCC1	0.000675239442882779	7.37669215404123e-07	0	3.42997284687721e-08	3.65458566207274e-05	2.43446785839957e-08	0	1.10782732627814e-07
