gene	deletionBand	reportMissenseAndInframe	reportNonsenseAndFrameshift	reportSplice	reportDeletionAndDisruption	reportAmplification	reportPromoterHotspots	likelihoodType
ABCB1		true	true	true	true	false	false	TSG
ABL1		true	false	false	false	true	false	ONCO
AC093642.5	q telomere	true	false	false	true	false	false	NA
ACVR1		true	false	false	false	true	false	ONCO
ACVR1B		true	true	true	true	false	false	TSG
ACVR2A		true	true	true	true	false	false	TSG
ADAM30		true	false	false	false	true	false	NA
AGBL4		true	false	false	true	false	false	NA
AIM1		true	false	false	false	true	false	NA
AJUBA		true	true	true	true	false	false	TSG
AKT1		true	false	false	false	true	false	ONCO
ALB		true	false	false	false	true	false	ONCO
ALK		true	false	false	false	true	false	ONCO
AMBRA1		true	false	false	true	false	false	NA
AMER1		true	true	true	true	false	false	TSG
ANK1		true	false	false	false	true	false	NA
ANKRD11		true	false	false	true	false	false	NA
AP001464.4	q centromere	true	false	false	true	false	false	NA
APC		true	true	true	true	false	false	TSG
AR		true	false	false	false	true	false	ONCO
ARAF		true	false	false	false	true	false	ONCO
ARHGAP35		true	true	true	true	false	false	TSG
ARID1A		true	true	true	true	false	false	TSG
ARID1B		true	true	true	true	false	false	TSG
ARID2		true	true	true	true	false	false	TSG
ARID5B		true	false	false	false	true	false	ONCO
ASXL1		true	true	true	true	false	false	TSG
ASXL2		true	false	false	true	false	false	NA
ATG7		true	false	false	true	false	false	NA
ATM		true	true	true	true	false	false	TSG
ATP1A1		true	true	true	true	false	false	TSG
ATP2B3		true	true	true	true	false	false	TSG
ATR		true	true	true	true	false	false	TSG
ATRX		true	true	true	true	false	false	TSG
AXIN1		true	true	true	true	false	false	TSG
AXIN2		true	true	true	true	false	false	TSG
AXL		true	false	false	false	true	false	ONCO
B2M		true	true	true	true	false	false	TSG
BAP1		true	true	true	true	false	false	TSG
BARD1		true	true	true	true	false	false	TSG
BCL2		true	false	false	false	true	false	ONCO
BCL9L		true	true	true	true	false	false	TSG
BCOR		true	true	true	true	false	false	TSG
BIRC3		true	true	true	true	false	false	TSG
BMPR2		true	true	true	true	false	false	TSG
BRAF		true	false	false	false	true	false	ONCO
BRCA1		true	true	true	true	false	false	TSG
BRCA2		true	true	true	true	false	false	TSG
BRD7		true	true	true	true	false	false	TSG
BRIP1		true	true	true	true	false	false	TSG
BTK		true	true	true	true	false	false	TSG
C21orf91		true	false	false	true	false	false	NA
CACNA1D		true	false	false	false	true	false	ONCO
CALR		true	false	false	false	true	false	ONCO
CARD11		true	false	false	false	true	false	ONCO
CASP8		true	true	true	true	false	false	TSG
CASZ1		true	true	true	true	false	false	TSG
CBFB		true	true	true	true	false	false	TSG
CBL		true	false	false	false	true	false	ONCO
CBLB		true	true	true	true	false	false	TSG
CCND1		true	false	false	false	true	false	ONCO
CCND2		true	false	false	false	true	false	NA
CCNE1		true	false	false	false	true	false	NA
CCSER1		true	false	false	true	false	false	NA
CD44		true	false	false	false	true	false	NA
CD58		true	true	true	true	false	false	TSG
CD79A		true	false	false	false	true	false	ONCO
