v37	v38
A1BG	A1BG
A1CF	A1CF
A2M	A2M
A2ML1	A2ML1
A3GALT2	A3GALT2
A4GALT	A4GALT
A4GNT	A4GNT
AAAS	AAAS
AACS	AACS
AADAC	AADAC
AADACL2	AADACL2
AADACL3	AADACL3
AADACL4	AADACL4
AADAT	AADAT
AAED1	AAED1
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
AAMP	AAMP
AANAT	AANAT
AAR2	AAR2
AARD	AARD
AARS	AARS
AARS2	AARS2
AARSD1	AARSD1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATF	AATF
AATK	AATK
ABAT	ABAT
ABCA1	ABCA1
ABCA10	ABCA10
ABCA12	ABCA12
ABCA13	ABCA13
ABCA2	ABCA2
ABCA3	ABCA3
ABCA4	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCB1	ABCB1
ABCB10	ABCB10
ABCB11	ABCB11
ABCB4	ABCB4
ABCB5	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCC1	ABCC1
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC2	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC6	ABCC6
ABCC8	ABCC8
ABCC9	ABCC9
ABCD1	ABCD1
ABCD2	ABCD2
ABCD3	ABCD3
ABCD4	ABCD4
ABCE1	ABCE1
ABCF1	ABCF1
ABCF2	ABCF2
ABCF3	ABCF3
ABCG1	ABCG1
ABCG2	ABCG2
ABCG4	ABCG4
ABCG5	ABCG5
ABCG8	ABCG8
ABHD1	ABHD1
ABHD10	ABHD10
ABHD11	ABHD11
ABHD12	ABHD12
ABHD12B	ABHD12B
ABHD13	ABHD13
ABHD14A	ABHD14A
ABHD14A-ACY1	ABHD14A-ACY1
ABHD14B	ABHD14B
ABHD15	ABHD15
ABHD16A	ABHD16A
ABHD16B	ABHD16B
ABHD17A	ABHD17A
ABHD17B	ABHD17B
ABHD17C	ABHD17C
ABHD2	ABHD2
ABHD3	ABHD3
ABHD4	ABHD4
ABHD5	ABHD5
ABHD6	ABHD6
ABHD8	ABHD8
ABI1	ABI1
ABI2	ABI2
ABI3	ABI3
ABI3BP	ABI3BP
ABL1	ABL1
ABL2	ABL2
ABLIM1	ABLIM1
ABLIM2	ABLIM2
ABLIM3	ABLIM3
ABR	ABR
ABRA	ABRA
ABRACL	ABRACL
ABT1	ABT1
ABTB1	ABTB1
ABTB2	ABTB2
AC000003.2	NA
AC002365.1	CLDN34
AC002451.1	NA
AC002472.1	NA
AC002472.13	LRRC74B
AC002553.1	NA
AC003002.4	AC003002.2
AC003043.1	NA
AC003101.1	NA
AC003102.1	NA
AC004017.1	NA
AC004076.9	AC004076.1
AC004381.6	REXO5
AC004466.1	NA
AC004528.1	NA
AC004817.1	NA
AC004824.2	NA
AC004899.1	NA
AC005003.1	NA
AC005008.2	NA
AC005082.1	NA
AC005358.1	AC005358.1
AC005477.1	NA
AC005481.5	AC005481.1
AC005488.1	NA
AC005493.1	NA
AC005544.1	NA
AC005549.3	NA
AC005606.1	NA
AC005609.1	NA
AC005841.1	NA
AC006014.1	NA
AC006116.20	EDDM13
AC006126.3	NA
AC006156.1	FAM197Y5
AC006372.1	NA
AC006435.1	NA
AC006449.1	NA
