patientId,sampleId,hmfSampleId,deleted,sampleHash
1,1,HMF000001A,false,f92b01287e405d0be8d1070808b128c82aa39ae0b738777244c6cfc75ac60995
2,1,HMF000002A,false,cdd16ac9357ef11c514e7c8104f8a41aac04be0e19730580cd80ab44541bd142
3,1,HMF000003A,false,acc119b1dcbdc00b8977e00147a1a13683a1759c4d586baa538f76e386afefd7
4,1,HMF000004A,false,671b8678627374854abd0486b2eab1644986aa043dea5279c36e46191f31c758
4,2,HMF000004B,false,33689a830b2f11339a4dfe57b3028466e27166f716fba61c5b8a397f8191de18
5,1,HMF000005A,false,fc8203f4dc8a231d01c621b06cba7cdf7ec519aec17a914fced53d23ce9c5ff5
6,1,HMF000006A,false,9a1f277e99e1fa288dd84d79d989c8b27b141c70b860776dd8c02447d8da40a1
7,1,HMF000007A,false,ed59b2b70cddddafcd9380a268a3989e41c7bc51175a33b3dacf2d91ec28f958
8,1,HMF000008A,false,7e88888f1a5bfc991b6aafc8b551d5b4dd48d39d67b55c6e686e6598df0bfc14
8,2,HMF000008B,false,0e142dc387c6e1730fb9324f2799969110bbdec08d07e1d8d0ca547318655370
9,1,HMF000009A,false,b1f55f925cf6f1c4a2caaeb7ce017907019e67fe1ea723431aefcb38dd82cfcf
10,1,HMF000010A,false,db5e66ea2634aee29434e7f657daa6d4acb750485514a370d4c9d09cfde0ad09
11,1,HMF000011A,false,997785b4002c9c31a88f2d04597474ca63d2bc1904ca6dfd8d10c2586fabe81a
12,1,HMF000012A,false,3fa8181c9ff15e73cfa6d4eff38687b74c43d5f994e7e047d5b20fd0dbf5890b
13,1,HMF000013A,false,79c356fd57c17ab8f228c6223246a4a29653e691c22209c71241ff7beef493ce
14,1,HMF000014A,false,071a54cd8cb41eeb0eeb776ab3dc16da03d6b5fae3ca2da46eafea381daea21a
15,1,HMF000015A,false,51da5da0255d97458272d87e8d16880d1c409b17bb14e0a1d99d9004a3dd4509
16,1,HMF000016A,false,8a0f0ba0711c8e07db5be666b0c58976b55aa8c7ab8bf367d720e4d1f9aa2634
16,2,HMF000016B,false,3afcbff5218dfb6b67cf640605b51e9db3c28133b8e7cb8beb8c3ee64617e301
17,1,HMF000017A,false,bb079e943aff9b18b4d5b545b7640b77c7a2ec50472e0eec6aa7fab61fd53db4
18,1,HMF000018A,false,439fe0cfdb5b043cbf594230cdd8fca0511dad46062312127ae04789f26a58ce
