5' Partner, 3' Partner
ACBD6,RRP15
ACSL3_ENST00000357430,ETV1
ACTB,GLI1
AGPAT5,MCPH1
AGTRAP,BRAF
AKAP9_ENST00000356239,BRAF
ARFIP1,FHDC1
ARID1A,MAST2_ENST00000361297
ASPSCR1,TFE3
ATG4C,FBXO38
ATIC,ALK
BBS9,PKD1L1
BCR,ABL1
BCR,JAK2
BRD3,NUTM1
BRD4_ENST00000263377,NUTM1
C2orf44,ALK
CANT1,ETV4
CARS,ALK
CBFA2T3,GLIS2
CCDC6,RET
CD74_ENST00000009530,NRG1
CD74_ENST00000009530,ROS1
CDH11,USP6_ENST00000250066
CDKN2D,WDFY2
CEP89,BRAF
CHCHD7,PLAG1
CIC,DUX4L1
CIC,FOXO4
CLCN6,BRAF
CLIP1,ROS1
CLTC,ALK
CLTC,TFE3
CNBP,USP6_ENST00000250066
COL1A1,PDGFB
COL1A1,USP6_ENST00000250066
COL1A2,PLAG1
CRTC1,MAML2
CRTC3,MAML2
CTAGE5,SIP1
CTNNB1,PLAG1
DCTN1,ALK
DDX5_ENST00000540698,ETV4
DHH,RHEBL1
DNAJB1,PRKACA
EIF3E,RSPO2
EIF3K,CYP39A1
EML4,ALK
EPC1,PHF1
ERC1,RET
ERC1,ROS1
ERO1L,FERMT2
ESRP1,RAF1
ETV6,ITPR2
ETV6,JAK2
ETV6,NTRK3
ETV6,RUNX1
EWSR1,ATF1
EWSR1,CREB1
EWSR1,DDIT3
EWSR1,ERG
EWSR1,ETV1
EWSR1,ETV4
EWSR1,FEV
EWSR1,FLI1
EWSR1,NFATC1
EWSR1,NFATC2
EWSR1,NR4A3
EWSR1,PATZ1
EWSR1,PBX1
EWSR1,POU5F1
EWSR1,SMARCA5
EWSR1,SP3
EWSR1,WT1
EWSR1,YY1
EWSR1,ZNF384
EWSR1,ZNF444_ENST00000337080
EZR,ROS1
FAM131B_ENST00000443739,BRAF
FBXL18,RNF216
FCHSD1,BRAF
FGFR1,ZNF703
FGFR1_ENST00000447712,PLAG1
FGFR1_ENST00000447712,TACC1
FGFR3,BAIAP2L1
FGFR3,TACC3
FN1,ALK
