drug,type,mechanism,synonyms
"ABBV-621",Experimental therapy,"Tumor necrosis factor (TNF)-related apoptosis-inducing ligand (TRAIL) receptor","Trial medication (ABBV-621)"
"Abemaciclib/placebo JPCM trial",Randomized trial,"CDK4/6 inhibitor or placebo",""
"Abiraterone",Hormonal therapy,"Anti-AR","Arbirateron,abirtaterone,Arbiraterone, Abirateron, abiterone, Abiraterone because of prostate carcinoma"
"Abiraterone, Prednisone",Unknown,"Unknown","abiraterone / prednisolon,abirateron + prednison,Abiraterone/P"
"ABT-414 or placebo",Randomized trial,"Experimental or placebo","ABT414/placebo,placebo or ABT414,placebo or ABT-414"
"Actinium-225 Prostate-specific membrane antigen (PSMA) radioligand therapy",Nuclear therapy,"Anti-PSMA","Actinium-225 PSMA,PSMA-therapy Ac-225"
"Ad[1/PPT-E1A]",Oncolytic virus,"Experimental",""
"Adcetris",Immunotherapy,"Antineoplastic agent, monoclonal antibody","Brentuximab"
"Adj chemo",remove,"",""
"Ado-trastuzumab emtansine (T-DM1)",Chemotherapy,"Anti-HER2","TDM-1, Emtansine (TDM-1), Emtansine, Kadcyla"
"Afatinib",Targeted therapy,"Anti-EGFR",""
"Alectinib",Targeted therapy,"ALK inhibitor",""
"Alpelisib",Experimental therapy,"PI3K inhibitor",""
"AMG 211",Experimental therapy,"Experimental",""
"AMG 232",Experimental therapy,"Experimental",""
"Ampligen",remove,"",""
"Anastrozole",Hormonal therapy,"Aromatase inhibitor","anastozol,Arimidex,anastorozole,anatrozol,anastrozol,anastrazol,anastrozol (aromatase inhibitor)"
"Androgen deprivation therapy (ADT)",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","androgen deprivation therapy,ADT, intermittent ADT, Androgen derivating therapy"
"Anetumab ravtansine",Experimental therapy,"Monoclonal antibody",""
"Anthracycline",Chemotherapy,"Anthracycline","Anthracyclines and related substances"
"Anti - Glucocorticoid induced TNF receptor (GITR)",Experimental therapy,"Anti-GITR","Anti-GITR"
"Anti-PD-1 (PDR001)",Immunotherapy,"Anti-PD-1","PDR001, Anti-PD1"
"Anti-PD-1 (PDR001) or placebo",Randomized trial,"Anti-PD-1 or placebo","PDR001 or placebo"
"Anti-PD-1 (Regeneron)",Immunotherapy,"Anti-PD-1","Anti PD -1 from Regeneron"
"anti‐CEA antibody",Antibody–drug conjugate,"Experimental","CEA antibody"
"Antiandrogen",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","Anti-androgen"
"Apalutamide",Hormonal therapy,"Anti-AR",""
"Aromatase inhibitor (AI)",Hormonal therapy,"Aromatase inhibitor","unknown aromatase inhibitor"
"Atezolizumab",Immunotherapy,"Anti-PD-L1","atezolumab"
"Atezolizumab or placebo",Randomized trial,"Anti-PD-L1 or placebo","atezolizumab/ placebo, Atezolizumab/ placebo"
"Avelumab",Immunotherapy,"Anti-PD-L1",""
"Avodart",remove,"",""
"Axitinib",Targeted therapy,"Multikinase inhibitor",""
"AZD3514",Androgen/estrogen deprivation therapy,"Anti-AR",""
"Bacillus Calmette-Guérin (BCG)",Other,"Immunomodulator","Bacillus Calmette-Guérin, BCG bladder instillation,BCG intravesical,Chemotherapie blaasspoeling,BCG,BCG-medac,BCG instillation,Intravesical BCG"
"Bendamustine",Chemotherapy,"Alkylating","Bendamustin"
"Bermekimab",Experimental therapy,"Monoclonal antibody","xilonix"
"Bevacizumab",Targeted therapy,"Anti-VEGF","Avastin,Bevacuzimab,bevazimab,Bevacizumab maintenance,beavcizumab,Bevacuzimab mono"
"BEZ235",Experimental therapy,"Experimental",""
"BI 853520",Targeted therapy,"FAK inhibitor",""
"Bicalutamide",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","Biculatamide,Casodex, bicaltumide, biculatimde, Bicalutamide because of prostate carcinoma"
"Binimetinib",Targeted therapy,"MEK inhibitor","MEK162"
"Bisphosphonate",Bisphosphonate,"Bisphosphonate",""
"Bleomycin",Chemotherapy,"Antitumor antibiotic",""
"BMS 986148",Experimental therapy,"Experimental",""
"BMS 986156",Experimental therapy,"Experimental",""
"Bortezomib",Targeted therapy,"Proteasome inhibitor",""
"Brachytherapy",Radiotherapy,"Radiotherapy",""
"Brigatinib",Targeted therapy,"Anaplastic lymphoma kinase inhibitor, tyrosine kinase inhibitor","brigantinib"
"budesodine",remove,"",""
"Buserelin",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","Suprefact"
"Busulfan",Chemotherapy,"Alkylating",""
"Cabazitaxel",Chemotherapy,"Taxane","jevtana"
"Cabazitaxel, Zoledronic Acid",Multiple therapy,"Taxane, Bisphosphonate ","Cabazitaxel / Zometa"
"Cabozantinib",Targeted therapy,"Multikinase inhibitor",""
"Canakinumab",Experimental therapy,"Monoclonal antibody",""
"Capecitabine",Chemotherapy,"Pyrimidine (ant)agonist","Xeloda,capecetamine,Capecitabine maintenace,Capecitabine maintenance,capecitabine mono,Capecitabine mono,capacetabine,Capecitabein, capecetabin"
"Capecitabine, Ixabepilone",Chemotherapy,"Pyrimidine (ant)agonist, other","capecitabine ixabepilone"
"Capecitabine, Oxaliplatin (CAPOX)",Chemotherapy,"Pyrimidine (ant)agonist, platinum","Capox,Capecitabine/oxaliplatin,Xelox"
"Capmatinib",Targeted therapy,"Anti-cMET",""
"Carboplatin",Chemotherapy,"Platinum","Carboplatine,Carbpolatine,Paraplatin,carbosin,carbo,CARBOPLATINE AUC5,Carboplatin AUC5,Carboplatinum,Carboplatine AUC 6"
"Carboplatin, Gemcitabine",Chemotherapy,"Platinum, Pyrimidine (ant)agonist","carboplatin/gem,Gemcitabine + Carboplatin"
"Carboplatin, Paclitaxel (PC)",Chemotherapy,"Platinum, taxane","Carbotaxol,carboplatin taxol,carboplatin - paclitaxel 75%,Carboplatin + Paclitaxel"
"Carmustine, Etoposide, Cytarabine, Melphalan (BEAM)",Chemotherapy,"Alkylating, alkaloid, pyrimidine (ant)agonist, alkylating","BEAM"
"CDK 4/6 inhibitor or placebo in monaleesa study",Randomized trial,"CDK4/6 inhibitor or placebo",""
"Cediranib",Targeted therapy,"Anti-VEGF",""
"Ceritinib",Targeted therapy,"ALK inhibitor",""
"Cetuximab",Targeted therapy,"Anti-EGFR","Cetuximab ( trial)"
"chemo",remove,"",""
"chemo/radiotherapy",remove,"",""
"Chemoradiotherapy",Chemoradiotherapy,"Chemoradiotherapy","Chemoraradiatie"
"Chlorambucil",Chemotherapy,"Alkylating","Chloorambucil"
"Chloromethine",Chemotherapy,"Alkylating","mustargen, mechlorethamine"
"Chloroquine",Other,"Other",""
"Cholesteroline",remove,"",""
"Cisplatin",Chemotherapy,"Platinum","Cisplatinum,Cipslatine,cisplatin lowdose,cisplatin low dose"
"Cobimetinib",Targeted therapy,"MEK inhibitor",""
"Complete hematologic response (CHR) 3996 trial",Experimental therapy,"Experimental","CHR-3996 trial"
"Crizotinib",Targeted therapy,"ALK/ROS1 inhibitor",""
"Cryotherapy",remove,"",""
"Cyclophosphamide",Chemotherapy,"Alkylating","cyclofosfamide,ciclfosfamine,cyclofamid,Cytoxan,Endoxan, cyclopfosfamide(mamma), Cyclophosfamide, Cycolfosfamide, Cyclofosfamide (om de dag 15 en 200 mg)"
"Cyclophosphamide, Methotrexate, Fluorouracil (CMF)",Chemotherapy,"Alkylating, antifolate, pyrimidine (ant)agonist","CMF"
"Cyclophosphamide, Vincristine Sulfate, Procarbazine Hydrochloride, Prednisone (COPP)",Chemotherapy,"Alkylating, vinca alkaloid, alkylating, glucocorticoid","COPP"
"Cyproterone",Androgen/estrogen deprivation therapy,"Anti-AR","Androcur"
"Cytarabine",Chemotherapy,"Pyrimidine (ant)agonist","cytaribine, cyturabine,depocyt"
"Dabrafenib",Targeted therapy,"BRAF inhibitor",""
"Dacarbazine",Chemotherapy,"Alkylating","Dacarzabine"
"Dactinomycin",Chemotherapy,"Antitumor antibiotic","Dactinomycine"
"Daratumumab",Immunotherapy,"Monoclonal antibody",""
"Darolutamide",Experimental therapy,"Experimental","ODM-201"
"Degarelix",Androgen/estrogen deprivation therapy,"GnRH (ant)agonist","Firmagon"
"Dendritic cell therapy (DCVAC)",Experimental therapy,"Immunetherapy","DC therapy,DCVAC/PCa,Dendritic cell,dendritic cell vaccination,dendritic cell vacination,dendritic cell vacine,DC vaccinations,Dendritic cell therapy,myeloid and plasmacytoid DC vaccinations,DC immunotherapy (DENIM-study), Dendritic celtherapy,Natural Dendritic Cells,Dendritic Cell therapy (DENIM study)"
"Dendritic cell therapy (DCVAC) or placebo",Randomized trial,"Immune therapy or placebo","DCVAC/PCa of placebo, DCVAC/placebo, MIND-DC trial, Dendritic cells or placebo (study), dendtritic celactivation or placebo"
"Denosumab",Boneregulating agent,"Anti-RANK-L",""
"Dexamethasone",Other,"Glucocorticoid","Dexamethason"
"Dexamethasone (liposomal)",Other,"Glucocorticoid","liposomaal dexamethason"
"Dexamethasone, High-dose cytarabine, Cisplatin (DAHP) - Ifosfamide, mitoxantrone and etoposide (VIM) - Dexamethasone, High-dose cytarabine, Cisplatin (DAHP)",Chemotherapy,"Glucocorticoid, pyrimidine (ant)agonist, platinum, alkylating, anthracycline, alkaloid","DHAP-VIM-DHAP"
"Dexrazoxane",remove,"",""
"DMOT4039A",Experimental therapy,"Experimental",""
"Docetaxel",Chemotherapy,"Taxane","dcoetaxel,Docetaxel.,Doxatel,Taxotere, Doxacetel, dectaxel"
"Docetaxel (CriPec)",Chemotherapy,"Taxane","CriPec Docetaxel, Cri-Pec Docetaxel (Napoly study)"
"Docetaxel, Doxorubicin, Cyclophosphamide (TAC)",Chemotherapy,"Taxane, anthracycline, alkylating","TAC, TCA"
"Doxorubicin",Chemotherapy,"Anthracycline","Doxorubicine (Adriamycine),Doxurubicine,Adriamycine,hydrodoxorubicin,Adriamyne,Adryamicine,doxoburicine,Doxorubine,Myocet,Adriamycin,adriacimicyne,Doxorubicine, doxorubicine (mamma),Dox,Doxorubicine HCL"
"Doxorubicin (liposomal)",Chemotherapy,"Anthracycline","PLD,caelyx,Lipodoxorubicin, Caelyx (Doxorubicine in pegylated liposomes), liposomaal doxorubicine, Liposomal doxyrubicin, PEG lipsomaal Doxorubicine, lipoomal doxorubicine,Doxorubicine liposomaal= Caelyx, liposomal doxorubicine"
"Doxorubicin, Bleomycin, Vinblastine, Dacarbazine (ABVD)",Chemotherapy,"Anthracycline, antitumor antibiotic, vinca alkaloid, alkylating","ABVD"
"Doxorubicin, Cyclophosphamide (AC)",Chemotherapy,"Anthracycline, alkylating","AC+, AC, AC cure"
"Durvalumab",Immunotherapy,"Anti-PD-L1","MED14736/"
"Dustasteride",remove,"",""
"Dutasteride",remove,"",""
"Dutasteride (Avodart)",remove,"",""
"Eftilagimod alpha or placebo",Randomized trial,"APC-activator","IMP321 or Placebo"
"Encorafenib",Targeted therapy,"BRAF inhibitor","Encorafinb,LGX818"
"Entrectinib",Unknown,"Unknown",""
"Enzalutamide",Hormonal therapy,"Anti-AR","Enzatulamide,Enzulatimide,enzalitumide"
"Epacadostat or placebo",Randomized trial,"Anti-IDO1 or placebo","Epacadostat/placebo"
