#bin	chrom	chromStart	chromEnd	ix	type	frag	fragStart	fragEnd	strand
75	chr1	3000000	3024025	2	W	contig_30884	0	24025	+
608	chr1	3027678	3045495	4	W	contig_30885	0	17817	+
608	chr1	3045781	3075356	6	W	contig_30886	0	29575	+
608	chr1	3075357	3089374	8	W	contig_30887	0	14017	+
608	chr1	3089375	3091673	10	W	contig_30888	0	2298	+
609	chr1	3162529	3165645	12	W	contig_30889	0	3116	+
609	chr1	3165646	3211146	14	W	contig_30890	0	45500	+
76	chr1	3211147	3298265	16	W	contig_30891	0	87118	+
76	chr1	3298266	3486187	18	W	contig_30892	0	187921	+
76	chr1	3487116	3578069	20	W	contig_30893	0	90953	+
612	chr1	3578992	3634865	22	W	contig_30894	0	55873	+
612	chr1	3635626	3661502	24	W	contig_30895	0	25876	+
76	chr1	3661503	3705689	26	W	contig_30896	0	44186	+
613	chr1	3706957	3751233	28	W	contig_30897	0	44276	+
613	chr1	3751708	3759982	30	W	contig_30898	0	8274	+
76	chr1	3760432	3826702	32	W	contig_30899	0	66270	+
614	chr1	3827256	3830720	34	W	contig_30900	0	3464	+
614	chr1	3830721	3866865	36	W	contig_30901	0	36144	+
614	chr1	3868125	3878680	38	W	contig_30902	0	10555	+
76	chr1	3878742	3976160	40	W	contig_30903	0	97418	+
615	chr1	3976658	4032790	42	W	contig_30904	0	56132	+
76	chr1	4032791	4121060	44	W	contig_30905	0	88269	+
616	chr1	4122014	4125563	46	W	contig_30906	0	3549	+
616	chr1	4126271	4127069	48	W	contig_30907	0	798	+
616	chr1	4127070	4138385	50	W	contig_30908	0	11315	+
9	chr1	4138638	4436588	52	W	contig_30909	0	297950	+
77	chr1	4438026	4474587	54	W	contig_30910	0	36561	+
619	chr1	4475028	4478672	56	W	contig_30911	0	3644	+
619	chr1	4479220	4572693	58	W	contig_30912	0	93473	+
77	chr1	4573362	4642571	60	W	contig_30913	0	69209	+
620	chr1	4642626	4659954	62	W	contig_30914	0	17328	+
77	chr1	4659994	4773905	64	W	contig_30915	0	113911	+
621	chr1	4775919	4830430	66	W	contig_30916	0	54511	+
77	chr1	4830818	4861140	68	W	contig_30917	0	30322	+
622	chr1	4861945	4864056	70	W	contig_30918	0	2111	+
622	chr1	4864224	4870105	72	W	contig_30919	0	5881	+
622	chr1	4870419	4884300	74	W	contig_30920	0	13881	+
77	chr1	4884301	5074710	76	W	contig_30921	0	190409	+
77	chr1	5075245	5116815	78	W	contig_30922	0	41570	+
