chr - hsx x 0 154824264 chrx
chr - hsY y 0 57701691 chry
chr - hs1 1 0 245522847 chr1
chr - hs2 2 0 243018229 chr2
chr - hs3 3 0 199505740 chr3
chr - hs4 4 0 191411218 chr4
chr - hs5 5 0 180857866 chr5
chr - hs6 6 0 170975699 chr6
chr - hs7 7 0 158628139 chr7
chr - hs8 8 0 146274826 chr8
chr - hs9 9 0 138429268 chr9
chr - hs10 10 0 135413628 chr10
chr - hs11 11 0 134452384 chr11
chr - hs12 12 0 132449811 chr12
chr - hs13 13 0 114142980 chr13
chr - hs14 14 0 106368585 chr14
chr - hs15 15 0 100338915 chr15
chr - hs16 16 0 88827254 chr16
chr - hs17 17 0 78774742 chr17
chr - hs18 18 0 76117153 chr18
chr - hs19 19 0 63811651 chr19
chr - hs20 20 0 62435964 chr20
chr - hs21 21 0 46944323 chr21
chr - hs22 22 0 49554710 chr22
band hs1 p36.33 p36.33 0 2300000 gneg
band hs1 p36.32 p36.32 2300000 5300000 gpos25
band hs1 p36.31 p36.31 5300000 7100000 gneg
band hs1 p36.23 p36.23 7100000 9000000 gpos25
band hs1 p36.22 p36.22 9000000 12300000 gneg
band hs1 p36.21 p36.21 12300000 15600000 gpos50
band hs1 p36.13 p36.13 15600000 20200000 gneg
band hs1 p36.12 p36.12 20200000 23700000 gpos25
band hs1 p36.11 p36.11 23700000 27700000 gneg
band hs1 p35.3 p35.3 27700000 30000000 gpos25
band hs1 p35.2 p35.2 30000000 32100000 gneg
band hs1 p35.1 p35.1 32100000 34300000 gpos25
band hs1 p34.3 p34.3 34300000 39800000 gneg
band hs1 p34.2 p34.2 39800000 43800000 gpos25
band hs1 p34.1 p34.1 43800000 46500000 gneg
band hs1 p33 p33 46500000 50400000 gpos75
band hs1 p32.3 p32.3 50400000 55800000 gneg
band hs1 p32.2 p32.2 55800000 58700000 gpos50
band hs1 p32.1 p32.1 58700000 60100000 gneg
band hs1 p31.3 p31.3 60100000 65500000 gpos50
band hs1 p31.2 p31.2 65500000 69500000 gneg
band hs1 p31.1 p31.1 69500000 84600000 gpos100
band hs1 p22.3 p22.3 84600000 88100000 gneg
band hs1 p22.2 p22.2 88100000 91700000 gpos75
band hs1 p22.1 p22.1 91700000 94500000 gneg
band hs1 p21.3 p21.3 94500000 99500000 gpos75
band hs1 p21.2 p21.2 99500000 102000000 gneg
band hs1 p21.1 p21.1 102000000 106900000 gpos100
band hs1 p13.3 p13.3 106900000 111500000 gneg
band hs1 p13.2 p13.2 111500000 114900000 gpos50
band hs1 p13.1 p13.1 114900000 117500000 gneg
band hs1 p12 p12 117500000 120300000 gpos50
band hs1 p11.2 p11.2 120300000 121000000 gneg
band hs1 p11.1 p11.1 121000000 124200000 acen
band hs1 q11 q11 124200000 127900000 acen
band hs1 q12 q12 127900000 141600000 gvar
band hs1 q21.1 q21.1 141600000 146500000 gneg
band hs1 q21.2 q21.2 146500000 148100000 gpos50
band hs1 q21.3 q21.3 148100000 151400000 gneg
band hs1 q22 q22 151400000 153400000 gpos50
band hs1 q23.1 q23.1 153400000 155900000 gneg
band hs1 q23.2 q23.2 155900000 157300000 gpos50
band hs1 q23.3 q23.3 157300000 162300000 gneg
band hs1 q24.1 q24.1 162300000 163900000 gpos50
band hs1 q24.2 q24.2 163900000 167600000 gneg
band hs1 q24.3 q24.3 167600000 169700000 gpos75
band hs1 q25.1 q25.1 169700000 172800000 gneg
band hs1 q25.2 q25.2 172800000 177000000 gpos50
band hs1 q25.3 q25.3 177000000 182500000 gneg
band hs1 q31.1 q31.1 182500000 187500000 gpos100
band hs1 q31.2 q31.2 187500000 190500000 gneg
band hs1 q31.3 q31.3 190500000 196000000 gpos100
band hs1 q32.1 q32.1 196000000 203600000 gneg
band hs1 q32.2 q32.2 203600000 207800000 gpos25
band hs1 q32.3 q32.3 207800000 210500000 gneg
band hs1 q41 q41 210500000 219800000 gpos100
band hs1 q42.11 q42.11 219800000 220600000 gneg
band hs1 q42.12 q42.12 220600000 223300000 gpos25
band hs1 q42.13 q42.13 223300000 227000000 gneg
band hs1 q42.2 q42.2 227000000 231000000 gpos50
band hs1 q42.3 q42.3 231000000 232900000 gneg
band hs1 q43 q43 232900000 239500000 gpos75
band hs1 q44 q44 239500000 245522847 gneg
band hs10 p15.3 p15.3 0 3000000 gneg
band hs10 p15.2 p15.2 3000000 3800000 gpos25
band hs10 p15.1 p15.1 3800000 6700000 gneg
band hs10 p14 p14 6700000 12300000 gpos75
band hs10 p13 p13 12300000 17300000 gneg
