chr - hs1 1 0 247249719 chr1
chr - hs2 2 0 242951149 chr2
chr - hs3 3 0 199501827 chr3
chr - hs4 4 0 191273063 chr4
chr - hs5 5 0 180857866 chr5
chr - hs6 6 0 170899992 chr6
chr - hs7 7 0 158821424 chr7
chr - hs8 8 0 146274826 chr8
chr - hs9 9 0 140273252 chr9
chr - hs10 10 0 135374737 chr10
chr - hs11 11 0 134452384 chr11
chr - hs12 12 0 132349534 chr12
chr - hs13 13 0 114142980 chr13
chr - hs14 14 0 106368585 chr14
chr - hs15 15 0 100338915 chr15
chr - hs16 16 0 88827254 chr16
chr - hs17 17 0 78774742 chr17
chr - hs18 18 0 76117153 chr18
chr - hs19 19 0 63811651 chr19
chr - hs20 20 0 62435964 chr20
chr - hs21 21 0 46944323 chr21
chr - hs22 22 0 49691432 chr22
chr - hsX x 0 154913754 chrx
chr - hsY y 0 57772954 chry
band hs1 p36.33 p36.33 0 2300000 gneg
band hs1 p36.32 p36.32 2300000 5300000 gpos25
band hs1 p36.31 p36.31 5300000 7100000 gneg
band hs1 p36.23 p36.23 7100000 9200000 gpos25
band hs1 p36.22 p36.22 9200000 12600000 gneg
band hs1 p36.21 p36.21 12600000 16100000 gpos50
band hs1 p36.13 p36.13 16100000 20300000 gneg
band hs1 p36.12 p36.12 20300000 23800000 gpos25
band hs1 p36.11 p36.11 23800000 27800000 gneg
band hs1 p35.3 p35.3 27800000 30000000 gpos25
band hs1 p35.2 p35.2 30000000 32200000 gneg
band hs1 p35.1 p35.1 32200000 34400000 gpos25
band hs1 p34.3 p34.3 34400000 39600000 gneg
band hs1 p34.2 p34.2 39600000 43900000 gpos25
band hs1 p34.1 p34.1 43900000 46500000 gneg
band hs1 p33 p33 46500000 51300000 gpos75
band hs1 p32.3 p32.3 51300000 56200000 gneg
band hs1 p32.2 p32.2 56200000 58700000 gpos50
band hs1 p32.1 p32.1 58700000 60900000 gneg
band hs1 p31.3 p31.3 60900000 68700000 gpos50
band hs1 p31.2 p31.2 68700000 69500000 gneg
band hs1 p31.1 p31.1 69500000 84700000 gpos100
band hs1 p22.3 p22.3 84700000 88100000 gneg
band hs1 p22.2 p22.2 88100000 92000000 gpos75
band hs1 p22.1 p22.1 92000000 94500000 gneg
band hs1 p21.3 p21.3 94500000 99400000 gpos75
band hs1 p21.2 p21.2 99400000 102000000 gneg
band hs1 p21.1 p21.1 102000000 107000000 gpos100
band hs1 p13.3 p13.3 107000000 111600000 gneg
band hs1 p13.2 p13.2 111600000 115900000 gpos50
band hs1 p13.1 p13.1 115900000 117600000 gneg
band hs1 p12 p12 117600000 120700000 gpos50
band hs1 p11.2 p11.2 120700000 121100000 gneg
band hs1 p11.1 p11.1 121100000 124300000 acen
band hs1 q11 q11 124300000 128000000 acen
band hs1 q12 q12 128000000 142400000 gvar
band hs1 q21.1 q21.1 142400000 148000000 gneg
band hs1 q21.2 q21.2 148000000 149600000 gpos50
band hs1 q21.3 q21.3 149600000 153300000 gneg
band hs1 q22 q22 153300000 154800000 gpos50
band hs1 q23.1 q23.1 154800000 157300000 gneg
band hs1 q23.2 q23.2 157300000 158800000 gpos50
band hs1 q23.3 q23.3 158800000 163800000 gneg
band hs1 q24.1 q24.1 163800000 165500000 gpos50
band hs1 q24.2 q24.2 165500000 169100000 gneg
band hs1 q24.3 q24.3 169100000 171200000 gpos75
band hs1 q25.1 q25.1 171200000 174300000 gneg
band hs1 q25.2 q25.2 174300000 178600000 gpos50
band hs1 q25.3 q25.3 178600000 184000000 gneg
band hs1 q31.1 q31.1 184000000 189000000 gpos100
band hs1 q31.2 q31.2 189000000 192100000 gneg
band hs1 q31.3 q31.3 192100000 197500000 gpos100
band hs1 q32.1 q32.1 197500000 205300000 gneg
band hs1 q32.2 q32.2 205300000 209500000 gpos25
band hs1 q32.3 q32.3 209500000 212100000 gneg
band hs1 q41 q41 212100000 222100000 gpos100
band hs1 q42.11 q42.11 222100000 222700000 gneg
band hs1 q42.12 q42.12 222700000 225100000 gpos25
band hs1 q42.13 q42.13 225100000 228800000 gneg
band hs1 q42.2 q42.2 228800000 232700000 gpos50
band hs1 q42.3 q42.3 232700000 234600000 gneg
band hs1 q43 q43 234600000 241700000 gpos75
band hs1 q44 q44 241700000 247249719 gneg
band hs10 p15.3 p15.3 0 3000000 gneg
band hs10 p15.2 p15.2 3000000 3800000 gpos25
band hs10 p15.1 p15.1 3800000 6700000 gneg
band hs10 p14 p14 6700000 12300000 gpos75
band hs10 p13 p13 12300000 17300000 gneg
band hs10 p12.33 p12.33 17300000 19900000 gpos75
band hs10 p12.32 p12.32 19900000 20500000 gneg
band hs10 p12.31 p12.31 20500000 22800000 gpos75
band hs10 p12.2 p12.2 22800000 24100000 gneg
band hs10 p12.1 p12.1 24100000 28300000 gpos50
band hs10 p11.23 p11.23 28300000 31400000 gneg
band hs10 p11.22 p11.22 31400000 34500000 gpos25
band hs10 p11.21 p11.21 34500000 38800000 gneg
band hs10 p11.1 p11.1 38800000 40300000 acen
band hs10 q11.1 q11.1 40300000 42100000 acen
band hs10 q11.21 q11.21 42100000 46100000 gneg
band hs10 q11.22 q11.22 46100000 50100000 gpos25
band hs10 q11.23 q11.23 50100000 53300000 gneg
band hs10 q21.1 q21.1 53300000 61200000 gpos100
band hs10 q21.2 q21.2 61200000 64800000 gneg
band hs10 q21.3 q21.3 64800000 71300000 gpos100
band hs10 q22.1 q22.1 71300000 74600000 gneg
band hs10 q22.2 q22.2 74600000 77400000 gpos50
band hs10 q22.3 q22.3 77400000 82000000 gneg
band hs10 q23.1 q23.1 82000000 87900000 gpos100
band hs10 q23.2 q23.2 87900000 89600000 gneg
band hs10 q23.31 q23.31 89600000 92900000 gpos75
band hs10 q23.32 q23.32 92900000 94200000 gneg
band hs10 q23.33 q23.33 94200000 98000000 gpos50
band hs10 q24.1 q24.1 98000000 99400000 gneg
band hs10 q24.2 q24.2 99400000 102000000 gpos50
band hs10 q24.31 q24.31 102000000 103000000 gneg
band hs10 q24.32 q24.32 103000000 104900000 gpos25
band hs10 q24.33 q24.33 104900000 105700000 gneg
band hs10 q25.1 q25.1 105700000 111800000 gpos100
band hs10 q25.2 q25.2 111800000 114900000 gneg
band hs10 q25.3 q25.3 114900000 119100000 gpos75
band hs10 q26.11 q26.11 119100000 121700000 gneg
band hs10 q26.12 q26.12 121700000 123100000 gpos50
band hs10 q26.13 q26.13 123100000 127400000 gneg
band hs10 q26.2 q26.2 127400000 130500000 gpos50
band hs10 q26.3 q26.3 130500000 135374737 gneg
band hs11 p15.5 p15.5 0 2800000 gneg
band hs11 p15.4 p15.4 2800000 10700000 gpos50
band hs11 p15.3 p15.3 10700000 12600000 gneg
band hs11 p15.2 p15.2 12600000 16100000 gpos50
band hs11 p15.1 p15.1 16100000 21600000 gneg
band hs11 p14.3 p14.3 21600000 26000000 gpos100
band hs11 p14.2 p14.2 26000000 27200000 gneg
band hs11 p14.1 p14.1 27200000 31000000 gpos75
band hs11 p13 p13 31000000 36400000 gneg
band hs11 p12 p12 36400000 43400000 gpos100
band hs11 p11.2 p11.2 43400000 48800000 gneg
band hs11 p11.12 p11.12 48800000 51400000 gpos75
band hs11 p11.11 p11.11 51400000 52900000 acen
band hs11 q11 q11 52900000 56400000 acen
band hs11 q12.1 q12.1 56400000 59700000 gpos75
band hs11 q12.2 q12.2 59700000 61400000 gneg
band hs11 q12.3 q12.3 61400000 63100000 gpos25
band hs11 q13.1 q13.1 63100000 67100000 gneg
band hs11 q13.2 q13.2 67100000 69200000 gpos25
band hs11 q13.3 q13.3 69200000 70700000 gneg
band hs11 q13.4 q13.4 70700000 74900000 gpos50
band hs11 q13.5 q13.5 74900000 76700000 gneg
band hs11 q14.1 q14.1 76700000 85300000 gpos100
band hs11 q14.2 q14.2 85300000 87900000 gneg
band hs11 q14.3 q14.3 87900000 92300000 gpos100
band hs11 q21 q21 92300000 96700000 gneg
band hs11 q22.1 q22.1 96700000 101600000 gpos100
band hs11 q22.2 q22.2 101600000 102400000 gneg
band hs11 q22.3 q22.3 102400000 110000000 gpos100
band hs11 q23.1 q23.1 110000000 112800000 gneg
band hs11 q23.2 q23.2 112800000 115400000 gpos50
band hs11 q23.3 q23.3 115400000 120700000 gneg
band hs11 q24.1 q24.1 120700000 123500000 gpos50
band hs11 q24.2 q24.2 123500000 127400000 gneg
band hs11 q24.3 q24.3 127400000 130300000 gpos50
band hs11 q25 q25 130300000 134452384 gneg
band hs12 p13.33 p13.33 0 3100000 gneg
band hs12 p13.32 p13.32 3100000 5300000 gpos25
band hs12 p13.31 p13.31 5300000 10000000 gneg
band hs12 p13.2 p13.2 10000000 12600000 gpos75
band hs12 p13.1 p13.1 12600000 14800000 gneg
band hs12 p12.3 p12.3 14800000 19900000 gpos100
band hs12 p12.2 p12.2 19900000 21200000 gneg
band hs12 p12.1 p12.1 21200000 26300000 gpos100
band hs12 p11.23 p11.23 26300000 27700000 gneg
band hs12 p11.22 p11.22 27700000 30600000 gpos50
band hs12 p11.21 p11.21 30600000 33200000 gneg
band hs12 p11.1 p11.1 33200000 35400000 acen
band hs12 q11 q11 35400000 36500000 acen
band hs12 q12 q12 36500000 44600000 gpos100
band hs12 q13.11 q13.11 44600000 47400000 gneg
band hs12 q13.12 q13.12 47400000 48400000 gpos25
band hs12 q13.13 q13.13 48400000 53100000 gneg
band hs12 q13.2 q13.2 53100000 55200000 gpos25
band hs12 q13.3 q13.3 55200000 56300000 gneg
band hs12 q14.1 q14.1 56300000 61400000 gpos75
band hs12 q14.2 q14.2 61400000 63400000 gneg
band hs12 q14.3 q14.3 63400000 66000000 gpos50
band hs12 q15 q15 66000000 69800000 gneg
band hs12 q21.1 q21.1 69800000 74100000 gpos75
band hs12 q21.2 q21.2 74100000 78700000 gneg
band hs12 q21.31 q21.31 78700000 85100000 gpos100
band hs12 q21.32 q21.32 85100000 87500000 gneg
band hs12 q21.33 q21.33 87500000 91200000 gpos100
band hs12 q22 q22 91200000 94800000 gneg
band hs12 q23.1 q23.1 94800000 100000000 gpos75
band hs12 q23.2 q23.2 100000000 102400000 gneg
band hs12 q23.3 q23.3 102400000 107500000 gpos50
band hs12 q24.11 q24.11 107500000 110200000 gneg
band hs12 q24.12 q24.12 110200000 110800000 gpos25
band hs12 q24.13 q24.13 110800000 112800000 gneg
band hs12 q24.21 q24.21 112800000 115300000 gpos50
band hs12 q24.22 q24.22 115300000 116700000 gneg
band hs12 q24.23 q24.23 116700000 119100000 gpos50
band hs12 q24.31 q24.31 119100000 124500000 gneg
band hs12 q24.32 q24.32 124500000 128700000 gpos50
band hs12 q24.33 q24.33 128700000 132349534 gneg
band hs13 p13 p13 0 3800000 gvar
band hs13 p12 p12 3800000 8300000 stalk
band hs13 p11.2 p11.2 8300000 13500000 gvar
band hs13 p11.1 p11.1 13500000 16000000 acen
band hs13 q11 q11 16000000 18400000 acen
band hs13 q12.11 q12.11 18400000 22200000 gneg
band hs13 q12.12 q12.12 22200000 24400000 gpos25
band hs13 q12.13 q12.13 24400000 26700000 gneg
band hs13 q12.2 q12.2 26700000 27800000 gpos25
band hs13 q12.3 q12.3 27800000 31100000 gneg
band hs13 q13.1 q13.1 31100000 32900000 gpos50
band hs13 q13.2 q13.2 32900000 34700000 gneg
band hs13 q13.3 q13.3 34700000 39500000 gpos75
band hs13 q14.11 q14.11 39500000 44300000 gneg
band hs13 q14.12 q14.12 44300000 45900000 gpos25
band hs13 q14.13 q14.13 45900000 46200000 gneg
band hs13 q14.2 q14.2 46200000 48900000 gpos50
