gene	chromosome	strand	start	end	geneSegmentType
IGLV4-69	22	+	22030934	22031472	V
IGLV10-67	22	+	22043618	22043942	V
IGLV1-62	22	+	22086561	22087110	V
IGLV8-61	22	+	22098700	22099212	V
IGLV4-60	22	+	22162199	22162681	V
IGLV6-57	22	+	22195799	22196276	V
IGLV11-55	22	+	22201663	22202161	V
IGLV10-54	22	+	22214794	22215270	V
IGLV5-52	22	+	22318727	22319226	V
IGLV1-51	22	+	22322472	22322969	V
IGLV1-50	22	+	22327300	22327814	V
IGLV9-49	22	+	22343187	22343732	V
IGLV5-48	22	+	22352940	22353433	V
IGLV1-47	22	+	22357739	22358260	V
IGLV7-46	22	+	22369614	22370087	V
IGLV5-45	22	+	22375986	22376505	V
IGLV1-44	22	+	22380766	22381347	V
IGLV7-43	22	+	22395018	22395489	V
IGLV1-41	22	+	22404207	22404721	V
IGLV1-40	22	+	22409766	22410282	V
IGLV5-37	22	+	22427540	22428035	V
IGLV1-36	22	+	22431958	22432465	V
IGLV7-35	22	+	22450202	22450652	V
IGLV2-34	22	+	22580014	22580296	V
IGLV2-33	22	+	22588155	22588688	V
IGLV3-32	22	+	22594528	22595056	V
IGLV3-31	22	+	22604445	22605165	V
IGLV3-30	22	+	22618572	22619163	V
IGLV3-29	22	+	22661299	22661542	V
IGLV2-28	22	+	22664473	22664907	V
IGLV3-27	22	+	22668288	22668806	V
IGLV3-26	22	+	22673152	22673602	V
IGLV3-25	22	+	22686726	22687271	V
IGLV3-24	22	+	22694439	22694952	V
IGLV2-23	22	+	22697789	22698407	V
IGLV3-22	22	+	22704265	22704822	V
IGLV3-21	22	+	22711689	22713203	V
IGLV3-19	22	+	22720623	22721145	V
IGLV2-18	22	+	22734607	22735089	V
IGLV3-17	22	+	22738944	22739187	V
IGLV3-16	22	+	22747383	22747921	V
IGLV3-15	22	+	22755554	22755797	V
IGLV2-14	22	+	22758700	22759218	V
IGLV3-13	22	+	22762294	22762516	V
IGLV3-12	22	+	22771824	22772582	V
IGLV2-11	22	+	22792491	22793007	V
IGLV3-10	22	+	22811747	22812281	V
IGLV3-9	22	+	22819010	22819756	V
IGLV2-8	22	+	22822658	22823289	V
IGLV3-7	22	+	22838602	22838872	V
IGLV3-6	22	+	22850375	22850624	V
IGLV2-5	22	+	22856762	22857038	V
IGLV3-4	22	+	22858025	22858268	V
IGLV4-3	22	+	22871507	22872035	V
IGLV3-2	22	+	22873212	22873440	V
IGLV3-1	22	+	22880706	22881396	V
IGLJ1	22	+	22893692	22893818	J
IGLC1	22	+	22895375	22895834	C
IGLJ2	22	+	22899481	22899655	J
IGLC2	22	+	22900976	22901437	C
IGLJ3	22	+	22904850	22905025	J
IGLC3	22	+	22906342	22906803	C
IGLJ4	22	+	22910574	22910606	J
IGLC4	22	+	22910828	22911075	C
IGLJ5	22	+	22914237	22914308	J
IGLC5	22	+	22915635	22915927	C
IGLJ6	22	+	22918132	22918201	J
IGLC6	22	+	22919535	22919851	C
IGLJ7	22	+	22921390	22921435	J
IGLC7	22	+	22922594	22923034	C
TRAV1-1	14	+	21621838	21622567	V
TRAV1-2	14	+	21642889	21643578	V
TRAV2	14	+	21712321	21712843	V
TRAV3	14	+	21723713	21724321	V
TRAV4	14	+	21736152	21736982	V
TRAV5	14	+	21749178	21749705	V
TRAV6	14	+	21768489	21769080	V
TRAV7	14	+	21782993	21783503	V
TRAV8-1	14	+	21797287	21797886	V
TRAV9-1	14	+	21811502	21811977	V
TRAV10	14	+	21825472	21826075	V
TRAV11	14	+	21829539	21830070	V
TRAV12-1	14	+	21841240	21841774	V
TRAV8-2	14	+	21846537	21847221	V
TRAV8-3	14	+	21852558	21853006	V
TRAV13-1	14	+	21868839	21869365	V
TRAV12-2	14	+	21887857	21888502	V
TRAV8-4	14	+	21894433	21895030	V
TRAV8-5	14	+	21903077	21904598	V
TRAV13-2	14	+	21918188	21918756	V
TRAV14DV4	14	+	21924063	21924651	V
TRAV9-2	14	+	21941128	21941657	V
TRAV15	14	+	21950406	21950654	V
TRAV12-3	14	+	21965451	21966061	V
TRAV8-6	14	+	21978459	21979120	V
TRAV16	14	+	21990496	21990938	V
TRAV17	14	+	21997539	21998168	V
