#bin	chrom	chromStart	chromEnd	ix	type	frag	fragStart	fragEnd	strand
585	chr1	0	3362	1	W	contig_7145	0	3362	+
585	chr1	3462	7673	3	W	contig_7146	0	4211	+
73	chr1	7773	133541	5	W	contig_7147	0	125768	+
586	chr1	133852	157792	7	W	contig_7148	0	23940	+
73	chr1	158082	270963	9	W	contig_7149	0	112881	+
587	chr1	271281	277248	11	W	contig_7150	0	5967	+
587	chr1	277528	357368	13	W	contig_7151	0	79840	+
587	chr1	357530	378302	15	W	contig_7152	0	20772	+
73	chr1	379795	396443	17	W	contig_7153	0	16648	+
588	chr1	396679	406878	19	W	contig_7154	0	10199	+
588	chr1	406978	413169	21	W	contig_7155	0	6191	+
588	chr1	414295	424078	23	W	contig_7156	0	9783	+
588	chr1	424203	444024	25	W	contig_7157	0	19821	+
588	chr1	444124	446180	27	W	contig_7158	0	2056	+
588	chr1	447075	453559	29	W	contig_7159	0	6484	+
588	chr1	453659	454575	31	W	contig_7160	0	916	+
588	chr1	455512	484472	33	W	contig_7161	0	28960	+
588	chr1	484627	502266	35	W	contig_7162	0	17639	+
73	chr1	502594	525554	37	W	contig_7163	0	22960	+
589	chr1	526354	539072	39	W	contig_7164	0	12718	+
589	chr1	539172	553663	41	W	contig_7165	0	14491	+
589	chr1	591319	593043	43	W	contig_7166	0	1724	+
589	chr1	595163	596977	45	W	contig_7167	0	1814	+
589	chr1	601046	653724	47	W	contig_7168	0	52678	+
73	chr1	653824	670303	49	W	contig_7169	0	16479	+
590	chr1	670403	677237	51	W	contig_7170	0	6834	+
590	chr1	678294	716649	53	W	contig_7171	0	38355	+
590	chr1	717655	756601	55	W	contig_7172	0	38946	+
73	chr1	757101	834396	57	W	contig_7173	0	77295	+
591	chr1	834866	854415	59	W	contig_7174	0	19549	+
591	chr1	855129	861404	61	W	contig_7175	0	6275	+
591	chr1	861760	891502	63	W	contig_7176	0	29742	+
73	chr1	891638	961643	65	W	contig_7177	0	70005	+
592	chr1	961817	1038121	67	W	contig_7178	0	76304	+
592	chr1	1039067	1041798	69	W	contig_7179	0	2731	+
9	chr1	1043421	1119137	71	W	contig_7180	0	75716	+
593	chr1	1119352	1126766	73	W	contig_7181	0	7414	+
593	chr1	1128437	1138102	75	W	contig_7182	0	9665	+
593	chr1	1138579	1169633	77	W	contig_7183	0	31054	+
74	chr1	1170385	1192970	79	W	contig_7184	0	22585	+
594	chr1	1194284	1280633	81	W	contig_7185	0	86349	+
74	chr1	1281868	1332637	83	W	contig_7186	0	50769	+
595	chr1	1333534	1368119	85	W	contig_7187	0	34585	+
595	chr1	1368488	1369786	87	W	contig_7188	0	1298	+
595	chr1	1369966	1380350	89	W	contig_7189	0	10384	+
595	chr1	1381658	1384069	91	W	contig_7190	0	2411	+
595	chr1	1384555	1395863	93	W	contig_7191	0	11308	+
595	chr1	1396371	1424744	95	W	contig_7192	0	28373	+
595	chr1	1425058	1426021	97	W	contig_7193	0	963	+
595	chr1	1426387	1427024	99	W	contig_7194	0	637	+
595	chr1	1427280	1439747	101	W	contig_7195	0	12467	+
74	chr1	1440339	1442849	103	W	contig_7196	0	2510	+
596	chr1	1443121	1448109	105	W	contig_7197	0	4988	+
596	chr1	1449114	1451840	107	W	contig_7198	0	2726	+
596	chr1	1452664	1460171	109	W	contig_7199	0	7507	+
596	chr1	1460506	1463447	111	W	contig_7200	0	2941	+
596	chr1	1463675	1472863	113	W	contig_7201	0	9188	+
596	chr1	1473307	1481816	115	W	contig_7202	0	8509	+
596	chr1	1481916	1493552	117	W	contig_7203	0	11636	+
596	chr1	1493810	1508581	119	W	contig_7204	0	14771	+
74	chr1	1509691	1573548	121	W	contig_7205	0	63857	+
597	chr1	1573998	1629554	123	W	contig_7206	0	55556	+
597	chr1	1630502	1685904	125	W	contig_7207	0	55402	+
74	chr1	1686751	1735829	127	W	contig_7208	0	49078	+
598	chr1	1737034	1775616	129	W	contig_7209	0	38582	+
598	chr1	1775784	1782149	131	W	contig_7210	0	6365	+
598	chr1	1782373	1805191	133	W	contig_7211	0	22818	+
74	chr1	1805644	1873777	135	W	contig_7212	0	68133	+
599	chr1	1874701	1878007	137	W	contig_7213	0	3306	+
599	chr1	1879153	1882318	139	W	contig_7214	0	3165	+
599	chr1	1883532	1886036	141	W	contig_7215	0	2504	+
74	chr1	1886229	2050593	143	W	contig_7216	0	164364	+
600	chr1	2050941	2052700	145	W	contig_7217	0	1759	+
600	chr1	2053582	2079169	147	W	contig_7218	0	25587	+
9	chr1	2079417	2357707	149	W	contig_7219	0	278290	+
75	chr1	2358057	2361078	151	W	contig_7220	0	3021	+
603	chr1	2361587	2396947	153	W	contig_7221	0	35360	+
75	chr1	2397241	2497227	155	W	contig_7222	0	99986	+
604	chr1	2497745	2505375	157	W	contig_7223	0	7630	+
75	chr1	2505679	2665491	159	W	contig_7224	0	159812	+
75	chr1	2665903	2845867	161	W	contig_7225	0	179964	+
606	chr1	2846197	2876286	163	W	contig_7226	0	30089	+
606	chr1	2876442	2877721	165	W	contig_7227	0	1279	+
75	chr1	2877854	2904650	167	W	contig_7228	0	26796	+
607	chr1	2904775	2916068	169	W	contig_7229	0	11293	+
607	chr1	2916168	2939933	171	W	contig_7230	0	23765	+
607	chr1	2940281	2941288	173	W	contig_7231	0	1007	+
607	chr1	2942421	2967671	175	W	contig_7232	0	25250	+
607	chr1	2967775	2993093	177	W	contig_7233	0	25318	+
75	chr1	2993376	3132618	179	W	contig_7234	0	139242	+
9	chr1	3132718	3287064	181	W	contig_7235	0	154346	+
610	chr1	3287693	3403395	183	W	contig_7236	0	115702	+
76	chr1	3406039	3414674	185	W	contig_7237	0	8635	+
611	chr1	3415671	3456190	187	W	contig_7238	0	40519	+
611	chr1	3456892	3468975	189	W	contig_7239	0	12083	+
76	chr1	3469075	3578343	191	W	contig_7240	0	109268	+
612	chr1	3578850	3583600	193	W	contig_7241	0	4750	+
612	chr1	3584351	3586895	195	W	contig_7242	0	2544	+
612	chr1	3588614	3592304	197	W	contig_7243	0	3690	+
612	chr1	3592836	3614472	199	W	contig_7244	0	21636	+
612	chr1	3615599	3620490	201	W	contig_7245	0	4891	+
612	chr1	3620603	3645279	203	W	contig_7246	0	24676	+
76	chr1	3645379	3708340	205	W	contig_7247	0	62961	+
613	chr1	3708440	3797138	207	W	contig_7248	0	88698	+
76	chr1	3797238	3850516	209	W	contig_7249	0	53278	+
614	chr1	3851067	3863257	211	W	contig_7250	0	12190	+
76	chr1	3863575	3933749	213	W	contig_7251	0	70174	+
615	chr1	3934003	4016254	215	W	contig_7252	0	82251	+
615	chr1	4016578	4036755	217	W	contig_7253	0	20177	+
76	chr1	4036907	4079251	219	W	contig_7254	0	42344	+
9	chr1	4079695	4344993	221	W	contig_7255	0	265298	+
77	chr1	4345721	4579917	223	W	contig_7256	0	234196	+
77	chr1	4580051	4741636	225	W	contig_7257	0	161585	+
77	chr1	4741864	4915733	227	W	contig_7258	0	173869	+
77	chr1	4916000	5025568	229	W	contig_7259	0	109568	+
623	chr1	5025767	5061074	231	W	contig_7260	0	35307	+
623	chr1	5061402	5109589	233	W	contig_7261	0	48187	+
77	chr1	5110008	5157050	235	W	contig_7262	0	47042	+
624	chr1	5157537	5216301	237	W	contig_7263	0	58764	+
9	chr1	5217454	5509277	239	W	contig_7264	0	291823	+
627	chr1	5509382	5517482	241	W	contig_7265	0	8100	+
627	chr1	5517685	5562043	243	W	contig_7266	0	44358	+
627	chr1	5563420	5634066	245	W	contig_7267	0	70646	+
78	chr1	5634604	5638943	247	W	contig_7268	0	4339	+
78	chr1	5639698	5801963	249	W	contig_7269	0	162265	+
629	chr1	5804649	5826771	251	W	contig_7270	0	22122	+
629	chr1	5826871	5868568	253	W	contig_7271	0	41697	+
78	chr1	5868668	5929834	255	W	contig_7272	0	61166	+
78	chr1	5933740	6040446	257	W	contig_7273	0	106706	+
631	chr1	6040817	6100765	259	W	contig_7274	0	59948	+
631	chr1	6100865	6115804	261	W	contig_7275	0	14939	+
631	chr1	6116409	6124871	263	W	contig_7276	0	8462	+
78	chr1	6125056	6189794	265	W	contig_7277	0	64738	+
632	chr1	6189894	6192231	267	W	contig_7278	0	2337	+
632	chr1	6192795	6204481	269	W	contig_7279	0	11686	+
632	chr1	6204618	6266174	271	W	contig_7280	0	61556	+
632	chr1	6266301	6277421	273	W	contig_7281	0	11120	+
9	chr1	6277960	6344979	275	W	contig_7282	0	67019	+
633	chr1	6345416	6347017	277	W	contig_7283	0	1601	+
633	chr1	6348511	6353343	279	W	contig_7284	0	4832	+
633	chr1	6355461	6359179	281	W	contig_7285	0	3718	+
633	chr1	6359755	6377092	283	W	contig_7286	0	17337	+
79	chr1	6377908	6433434	285	W	contig_7287	0	55526	+
634	chr1	6434472	6523555	287	W	contig_7288	0	89083	+
79	chr1	6523655	6626777	289	W	contig_7289	0	103122	+
635	chr1	6626877	6628140	291	W	contig_7290	0	1263	+
635	chr1	6628289	6659954	293	W	contig_7291	0	31665	+
79	chr1	6660126	6738716	295	W	contig_7292	0	78590	+
636	chr1	6738816	6804119	297	W	contig_7293	0	65303	+
79	chr1	6804454	6961224	299	W	contig_7294	0	156770	+
638	chr1	6962209	6964195	301	W	contig_7295	0	1986	+
79	chr1	6966571	7082195	303	W	contig_7296	0	115624	+
639	chr1	7082316	7162877	305	W	contig_7297	0	80561	+
79	chr1	7163321	7229786	307	W	contig_7298	0	66465	+
9	chr1	7230590	7348865	309	W	contig_7299	0	118275	+
80	chr1	7349013	7495954	311	W	contig_7300	0	146941	+
642	chr1	7496285	7594255	313	W	contig_7301	0	97970	+
80	chr1	7594644	7612334	315	W	contig_7302	0	17690	+
643	chr1	7612434	7658563	317	W	contig_7303	0	46129	+
80	chr1	7658663	7740241	319	W	contig_7304	0	81578	+
644	chr1	7740390	7748511	321	W	contig_7305	0	8121	+
644	chr1	7750137	7751850	323	W	contig_7306	0	1713	+
644	chr1	7751959	7799643	325	W	contig_7307	0	47684	+
80	chr1	7800445	7876929	327	W	contig_7308	0	76484	+
645	chr1	7878424	7879974	329	W	contig_7309	0	1550	+
645	chr1	7880825	7882246	331	W	contig_7310	0	1421	+
645	chr1	7887179	7893757	333	W	contig_7311	0	6578	+
645	chr1	7894408	7914798	335	W	contig_7312	0	20390	+
645	chr1	7914985	7916705	337	W	contig_7313	0	1720	+
80	chr1	7916847	8117068	339	W	contig_7314	0	200221	+
80	chr1	8117202	8138857	341	W	contig_7315	0	21655	+
647	chr1	8138957	8211549	343	W	contig_7316	0	72592	+
647	chr1	8212224	8215135	345	W	contig_7317	0	2911	+
647	chr1	8215274	8218086	347	W	contig_7318	0	2812	+
647	chr1	8218186	8221846	349	W	contig_7319	0	3660	+
647	chr1	8221985	8250534	351	W	contig_7320	0	28549	+
80	chr1	8251468	8379658	353	W	contig_7321	0	128190	+
1	chr1	8380492	8525479	355	W	contig_7322	0	144987	+
650	chr1	8526560	8541396	357	W	contig_7323	0	14836	+
650	chr1	8541497	8594398	359	W	contig_7324	0	52901	+
650	chr1	8594598	8630220	361	W	contig_7325	0	35622	+
81	chr1	8630480	8694201	363	W	contig_7326	0	63721	+
651	chr1	8694301	8705400	365	W	contig_7327	0	11099	+
651	chr1	8705795	8733025	367	W	contig_7328	0	27230	+
81	chr1	8733242	8822954	369	W	contig_7329	0	89712	+
652	chr1	8823545	8852127	371	W	contig_7330	0	28582	+
81	chr1	8853778	8914834	373	W	contig_7331	0	61056	+
653	chr1	8915167	8935832	375	W	contig_7332	0	20665	+
653	chr1	8937340	8954709	377	W	contig_7333	0	17369	+
653	chr1	8955091	8994090	379	W	contig_7334	0	38999	+
653	chr1	8994255	9006847	381	W	contig_7335	0	12592	+
653	chr1	9006947	9012588	383	W	contig_7336	0	5641	+
81	chr1	9012791	9054032	385	W	contig_7337	0	41241	+
654	chr1	9054426	9169360	387	W	contig_7338	0	114934	+
81	chr1	9169478	9201432	389	W	contig_7339	0	31954	+
655	chr1	9201643	9220050	391	W	contig_7340	0	18407	+
81	chr1	9220654	9321297	393	W	contig_7341	0	100643	+
10	chr1	9321537	9478205	395	W	contig_7342	0	156668	+
657	chr1	9478305	9554469	397	W	contig_7343	0	76164	+
82	chr1	9555053	9574076	399	W	contig_7344	0	19023	+
658	chr1	9574243	9624781	401	W	contig_7345	0	50538	+
82	chr1	9624921	9701139	403	W	contig_7346	0	76218	+
659	chr1	9701332	9823572	405	W	contig_7347	0	122240	+
82	chr1	9823675	9851708	407	W	contig_7348	0	28033	+
660	chr1	9852548	9857542	409	W	contig_7349	0	4994	+
660	chr1	9857642	9867385	411	W	contig_7350	0	9743	+
660	chr1	9868730	9887344	413	W	contig_7351	0	18614	+
660	chr1	9888191	9941039	415	W	contig_7352	0	52848	+
660	chr1	9941338	9959456	417	W	contig_7353	0	18118	+
82	chr1	9959856	10012756	419	W	contig_7354	0	52900	+
82	chr1	10012856	10119795	421	W	contig_7355	0	106939	+
662	chr1	10119895	10153321	423	W	contig_7356	0	33426	+
82	chr1	10153421	10226533	425	W	contig_7357	0	73112	+
