chr - ptm m 0 16554 chrm
chr - ptX X 0 156848144 chrX
chr - ptY Y 0 26342871 chrY
chr - pt1 1 0 228333871 chr1
chr - pt2a 2a 0 113622374 chr2a
chr - pt2b 2b 0 247518478 chr2b
chr - pt3 3 0 202329955 chr3
chr - pt4 4 0 193495092 chr4
chr - pt5 5 0 182651097 chr5
chr - pt6 6 0 172623881 chr6
chr - pt7 7 0 161824586 chr7
chr - pt8 8 0 143986469 chr8
chr - pt9 9 0 137840987 chr9
chr - pt10 10 0 133524379 chr10
chr - pt11 11 0 133121534 chr11
chr - pt12 12 0 134246214 chr12
chr - pt13 13 0 115123233 chr13
chr - pt14 14 0 106544938 chr14
chr - pt15 15 0 99548318 chr15
chr - pt16 16 0 89983829 chr16
chr - pt17 17 0 82630442 chr17
chr - pt18 18 0 76611499 chr18
chr - pt19 19 0 63644993 chr19
chr - pt20 20 0 61729293 chr20
chr - pt21 21 0 32799110 chr21
chr - pt22 22 0 49737984 chr22
band pt1 p p 0 113832284 gneg
band pt1 cen cen 113832284 114952284 acen
band pt1 cen cen 114952284 116072284 acen
band pt1 q q 116072284 228333871 gneg
band pt10 p p 0 39470229 gneg
band pt10 cen cen 39470229 40660229 acen
band pt10 cen cen 40660229 41850229 acen
band pt10 q q 41850229 133524379 gneg
band pt11 p p 0 50647596 gneg
band pt11 cen cen 50647596 52147596 acen
band pt11 cen cen 52147596 53647596 acen
band pt11 q q 53647596 133121534 gneg
band pt12 p p 0 52156499 gneg
band pt12 cen cen 52156499 52853999 acen
band pt12 cen cen 52853999 53551499 acen
band pt12 q q 53551499 134246214 gneg
band pt13 p p 0 16000000 gneg
band pt13 cen cen 16000000 16934000 acen
band pt13 cen cen 16934000 17868000 acen
band pt13 q q 17868000 115123233 gneg
band pt14 p p 0 15070000 gneg
band pt14 cen cen 15070000 16570000 acen
band pt14 cen cen 16570000 18070000 acen
band pt14 q q 18070000 106544938 gneg
band pt15 p p 0 15260000 gneg
band pt15 cen cen 15260000 16760000 acen
band pt15 cen cen 16760000 18260000 acen
band pt15 q q 18260000 99548318 gneg
band pt16 p p 0 42150972 gneg
band pt16 cen cen 42150972 43050972 acen
band pt16 cen cen 43050972 43950972 acen
band pt16 q q 43950972 89983829 gneg
band pt17 p p 0 33925834 gneg
band pt17 cen cen 33925834 33975834 acen
band pt17 cen cen 33975834 34025834 acen
band pt17 q q 34025834 82630442 gneg
band pt18 p p 0 82944 gneg
band pt18 cen cen 82944 764943 acen
band pt18 cen cen 764943 1446942 acen
band pt18 q q 1446942 76611499 gneg
band pt19 p p 0 26701495 gneg
band pt19 cen cen 26701495 28201495 acen
band pt19 cen cen 28201495 29701495 acen
band pt19 q q 29701495 63644993 gneg
band pt20 p p 0 26025681 gneg
band pt20 cen cen 26025681 26908511 acen
band pt20 cen cen 26908511 27791342 acen
band pt20 q q 27791342 61729293 gneg
band pt21 gneg gneg 0 32799110 
band pt22 p p 0 11330000 gneg
band pt22 cen cen 11330000 12830000 acen
band pt22 cen cen 12830000 14330000 acen
band pt22 q q 14330000 49737984 gneg
band pt2a p p 0 91793653 gneg
band pt2a cen cen 91793653 93293653 acen
band pt2a cen cen 93293653 94793653 acen
band pt2a q q 94793653 113622374 gneg
band pt2b p p 0 132910908 gneg
band pt2b cen cen 132910908 134410908 acen
band pt2b cen cen 134410908 135910908 acen
band pt2b q q 135910908 247518478 gneg
band pt3 p p 0 92159186 gneg
band pt3 cen cen 92159186 93609186 acen
band pt3 cen cen 93609186 95059186 acen
band pt3 q q 95059186 202329955 gneg
band pt4 p p 0 78675172 gneg
band pt4 cen cen 78675172 80175172 acen
band pt4 cen cen 80175172 81675172 acen
band pt4 q q 81675172 193495092 gneg
band pt5 p p 0 65648281 gneg
band pt5 cen cen 65648281 67148281 acen
band pt5 cen cen 67148281 68648281 acen
band pt5 q q 68648281 182651097 gneg
band pt6 p p 0 59767044 gneg
band pt6 cen cen 59767044 61267044 acen
band pt6 cen cen 61267044 62767044 acen
band pt6 q q 62767044 172623881 gneg
band pt7 p p 0 58420265 gneg
band pt7 cen cen 58420265 59920265 acen
band pt7 cen cen 59920265 61420265 acen
band pt7 q q 61420265 161824586 gneg
band pt8 p p 0 40544052 gneg
band pt8 cen cen 40544052 42044052 acen
band pt8 cen cen 42044052 43544052 acen
band pt8 q q 43544052 143986469 gneg
band pt9 p p 0 45033823 gneg
band pt9 cen cen 45033823 46533823 acen
band pt9 cen cen 46533823 48033823 acen
band pt9 q q 48033823 137840987 gneg
band ptm gneg gneg 0 16554 
band ptX p p 0 59308983 gneg
band ptX cen cen 59308983 60808983 acen
band ptX cen cen 60808983 62308983 acen
band ptX q q 62308983 156848144 gneg
band ptY p p 0 7528572 gneg
band ptY cen cen 7528572 7778572 acen
band ptY cen cen 7778572 8028573 acen
band ptY q q 8028573 26342871 gneg
