GeneId,GeneName,Chromosome,CanonicalTranscriptId,Strand,TransId,TransName,BioType,TransStart,TransEnd,ExonRank,ExonStart,ExonEnd,ExonPhase,ExonEndPhase,CodingStart,CodingEnd
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,1,29909037,29909096,-1,-1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,2,29909743,29909873,-1,-1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,3,29910181,29910403,-1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,4,29910534,29910803,1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,5,29911045,29911320,1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,6,29911899,29912174,1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,7,29912277,29912393,1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,8,29912836,29912868,1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,9,29913011,29913058,1,1,29910331,29913232
ENSG00000206503,HLA-A,6,2395548,1,2395548,ENST00000396634,protein_coding,29909037,29913661,10,29913228,29913661,1,-1,29910331,29913232
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,8,31321649,31322073,-1,-1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,7,31322256,31322303,1,-1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,6,31322410,31322442,1,1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,5,31322884,31323000,1,1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,4,31323094,31323369,1,1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,3,31323944,31324219,1,1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,2,31324465,31324734,1,1,31322260,31324935
ENSG00000234745,HLA-B,6,2456958,-1,2456958,ENST00000412585,protein_coding,31321649,31324964,1,31324863,31324964,-1,1,31322260,31324935
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,8,31236526,31236950,1,-1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,7,31237115,31237162,1,1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,6,31237270,31237302,1,1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,5,31237743,31237862,1,1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,4,31237987,31238262,1,1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,3,31238850,31239125,1,1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,2,31239376,31239645,1,1,31236946,31239848
ENSG00000204525,HLA-C,6,2455938,-1,2455938,ENST00000376228,protein_coding,31236526,31239863,1,31239776,31239863,-1,1,31236946,31239848
ENSG00000179344,HLA-DQB1,6,2435831,-1,2435863,ENST00000399084,protein_coding,32627244,32636160,6,32627244,32628026,1,-1,32628013,32634384
ENSG00000179344,HLA-DQB1,6,2435831,-1,2435863,ENST00000399084,protein_coding,32627244,32636160,5,32629124,32629234,1,1,32628013,32634384
ENSG00000179344,HLA-DQB1,6,2435831,-1,2435863,ENST00000399084,protein_coding,32627244,32636160,4,32629744,32630025,1,1,32628013,32634384
ENSG00000179344,HLA-DQB1,6,2435831,-1,2435863,ENST00000399084,protein_coding,32627244,32636160,3,32632575,32632844,1,1,32628013,32634384
ENSG00000179344,HLA-DQB1,6,2435831,-1,2435863,ENST00000399084,protein_coding,32627244,32636160,2,32634276,32634447,-1,1,32628013,32634384
ENSG00000179344,HLA-DQB1,6,2435831,-1,2435863,ENST00000399084,protein_coding,32627244,32636160,1,32636045,32636160,-1,-1,32628013,32634384
ENSG00000231389,HLA-DPA1,6,2444074,-1,2444074,ENST00000419277,protein_coding,33032346,33048487,6,33032346,33033124,-1,-1,33036427,33041347
ENSG00000231389,HLA-DPA1,6,2444074,-1,2444074,ENST00000419277,protein_coding,33032346,33048487,5,33036415,33036581,1,-1,33036427,33041347
ENSG00000231389,HLA-DPA1,6,2444074,-1,2444074,ENST00000419277,protein_coding,33032346,33048487,4,33036796,33037077,1,1,33036427,33041347
ENSG00000231389,HLA-DPA1,6,2444074,-1,2444074,ENST00000419277,protein_coding,33032346,33048487,3,33037418,33037663,1,1,33036427,33041347
ENSG00000231389,HLA-DPA1,6,2444074,-1,2444074,ENST00000419277,protein_coding,33032346,33048487,2,33041248,33041446,-1,1,33036427,33041347
ENSG00000231389,HLA-DPA1,6,2444074,-1,2444074,ENST00000419277,protein_coding,33032346,33048487,1,33048457,33048487,-1,-1,33036427,33041347
ENSG00000223865,HLA-DPB1,6,2444641,1,2444641,ENST00000418931,protein_coding,33043703,33054978,1,33043703,33043918,-1,1,33043819,33054015
ENSG00000223865,HLA-DPB1,6,2444641,1,2444641,ENST00000418931,protein_coding,33043703,33054978,2,33048449,33048712,1,1,33043819,33054015
ENSG00000223865,HLA-DPB1,6,2444641,1,2444641,ENST00000418931,protein_coding,33043703,33054978,3,33052727,33053008,1,1,33043819,33054015
ENSG00000223865,HLA-DPB1,6,2444641,1,2444641,ENST00000418931,protein_coding,33043703,33054978,4,33053556,33053666,1,1,33043819,33054015
ENSG00000223865,HLA-DPB1,6,2444641,1,2444641,ENST00000418931,protein_coding,33043703,33054978,5,33053996,33054019,1,-1,33043819,33054015
ENSG00000223865,HLA-DPB1,6,2444641,1,2444641,ENST00000418931,protein_coding,33043703,33054978,6,33054316,33054978,-1,-1,33043819,33054015
ENSG00000196735,HLA-DQA1,6,2434500,1,2434500,ENST00000343139,protein_coding,32605134,32611429,1,32605134,32605317,-1,1,32605236,32610541
ENSG00000196735,HLA-DQA1,6,2434500,1,2434500,ENST00000343139,protein_coding,32605134,32611429,2,32609087,32609335,1,1,32605236,32610541
ENSG00000196735,HLA-DQA1,6,2434500,1,2434500,ENST00000343139,protein_coding,32605134,32611429,3,32609749,32610030,1,1,32605236,32610541
ENSG00000196735,HLA-DQA1,6,2434500,1,2434500,ENST00000343139,protein_coding,32605134,32611429,4,32610387,32610561,1,-1,32605236,32610541
ENSG00000196735,HLA-DQA1,6,2434500,1,2434500,ENST00000343139,protein_coding,32605134,32611429,5,32610729,32611429,-1,-1,32605236,32610541
ENSG00000196126,HLA-DRB1,6,2433967,-1,2433967,ENST00000360004,protein_coding,32546546,32557625,6,32546546,32546881,1,-1,32546868,32557519
