primaryTumorLocation,cancerSubType,biopsySite,biopsyLocation,biopsyType
Biliary,Cholangiocarcinoma,"abdominal wall","right hemiabdomen",Abdomen/Abdominal wall
Biliary,Cholangiocarcinoma,"abdominal wall","right side",Abdomen/Abdominal wall
Biliary,Cholangiocarcinoma,"intra costal","right subcutanous",(Sub)cutane
Biliary,Cholangiocarcinoma,"liver","bilary duct",Liver
Biliary,Cholangiocarcinoma,"liver","central",Liver
Biliary,Cholangiocarcinoma,"liver","hilar",Liver
Biliary,Cholangiocarcinoma,"liver","left liver lobe",Liver
Biliary,Cholangiocarcinoma,"liver","left lobe",Liver
Biliary,Cholangiocarcinoma,"liver","left side",Liver
Biliary,Cholangiocarcinoma,"liver","liver segment 3",Liver
Biliary,Cholangiocarcinoma,"liver","liver",Liver
Biliary,Cholangiocarcinoma,"liver","not specified",Liver
Biliary,Cholangiocarcinoma,"liver","right lobe",Liver
Biliary,Cholangiocarcinoma,"liver","right",Liver
Biliary,Cholangiocarcinoma,"liver","segment 4b",Liver
Biliary,Cholangiocarcinoma,"liver","segment 5/8",Liver
Biliary,Cholangiocarcinoma,"liver","segment vii",Liver
Biliary,Cholangiocarcinoma,"liver","uk",Liver
Biliary,Cholangiocarcinoma,"liver","unknown",Liver
Biliary,Cholangiocarcinoma,"lymph node","inguinal",Lymph node
Biliary,Cholangiocarcinoma,"lymph node","liver hilus and para aortic",Lymph node
Biliary,Cholangiocarcinoma,"lymph node","neck, low cervical",Lymph node
Biliary,Cholangiocarcinoma,"lymph node","supraclavicular left",Lymph node
Biliary,Cholangiocarcinoma,"other","left lower abdomen",Abdomen/Abdominal wall
Biliary,Cholangiocarcinoma,"peritoneum","metastasis",Peritoneum/Omentum
Biliary,Cholangiocarcinoma,"peritoneum","retroperitoneal mass",Peritoneum/Omentum
Biliary,Cholangiocarcinoma,"peritoneum","ventral medial",Peritoneum/Omentum
Biliary,Cholangiocarcinoma,"primary","intrahepatic cholangiocarcinoma",Liver
Biliary,Gall bladder,"abdominal wall","abdominal wall laesion",Abdomen/Abdominal wall
Biliary,Gall bladder,"abdominal wall","abdominal wall",Abdomen/Abdominal wall
Biliary,Gall bladder,"epigastrium","subcutaneous",(Sub)cutane
Biliary,Gall bladder,"gall bladder","gall bladder",Gall bladder
Biliary,Gall bladder,"liver","gallbladder bed",Liver
Biliary,Gall bladder,"liver","left liver lobe",Liver
Biliary,Gall bladder,"liver","left lobe",Liver
Biliary,Gall bladder,"liver","liver",Liver
Biliary,Gall bladder,"liver","liver/paracholangio",Liver
Biliary,Gall bladder,"liver","null",Liver
Biliary,Gall bladder,"liver","right liver lobe",Liver
Biliary,Gall bladder,"liver","right lobe",Liver
Biliary,Gall bladder,"liver","segment 2/3",Liver
Biliary,Gall bladder,"liver","segment 7/8",Liver
Biliary,Gall bladder,"liver","segment iii",Liver
Biliary,Gall bladder,"liver","unknown",Liver
Biliary,Gall bladder,"liver","ventral abdominal",Liver
Biliary,Gall bladder,"liver","ventral, right liver lobe",Liver
Biliary,Gall bladder,"lymph node","neck level 4 right side",Lymph node
Biliary,Gall bladder,"lymph node","right axilla",Lymph node
Biliary,Gall bladder,"null","gall bladder",Gall bladder
Bone/Soft tissue,Angiosarcoma,"liver","liver",Liver
Bone/Soft tissue,Angiosarcoma,"primary","scalp",Bone
Bone/Soft tissue,Desmoid,"abdomen","abdominal wall right",Abdomen/Abdominal wall
Bone/Soft tissue,Desmoid,"abdomen","mesenterium",Peritoneum/Omentum
Bone/Soft tissue,Ewing sarcoma,"amputated upper leg (leg amputation 16/06/2016)","amputated",Bone
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"abdomen","left mesenterial",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"abdomen","omentum, ventral of the bladder",Peritoneum/Omentum
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"abdomen","right paramedian",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"abdominal wall","left upper abdomen",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"leasion","right abdomen",Abdomen/Abdominal wall
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","left lobe",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","null",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","right lobe",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","right",Liver
Bone/Soft tissue,Gastrointestinal stromal tumor (GIST),"liver","segment 4",Liver
