chromosome	start	end	reason
15	19964674	19964794	IG_PSEUDO_REGIONS
15	19972790	19972910	IG_PSEUDO_REGIONS
15	19987664	19987784	IG_PSEUDO_REGIONS
15	22160439	22160559	IG_PSEUDO_REGIONS
15	22178113	22178233	IG_PSEUDO_REGIONS
15	22184975	22185095	IG_PSEUDO_REGIONS
15	22194891	22195011	IG_PSEUDO_REGIONS
16	31962255	31962375	IG_PSEUDO_REGIONS
16	32052154	32052274	IG_PSEUDO_REGIONS
16	32066232	32066352	IG_PSEUDO_REGIONS
16	32848026	32848146	IG_PSEUDO_REGIONS
16	32903768	32903888	IG_PSEUDO_REGIONS
16	32915408	32915528	IG_PSEUDO_REGIONS
16	32995377	32995497	IG_PSEUDO_REGIONS
16	33009496	33009616	IG_PSEUDO_REGIONS
16	33803089	33803209	IG_PSEUDO_REGIONS
16	33827533	33827653	IG_PSEUDO_REGIONS
16	33844788	33844908	IG_PSEUDO_REGIONS
16	33938345	33938465	IG_PSEUDO_REGIONS
16	33949974	33950094	IG_PSEUDO_REGIONS
16	34013397	34013517	IG_PSEUDO_REGIONS
